"County.Name","YearText","Birth_Defects_Per_10k"
"Navarro",2014,520.83
"Newton",2014,NA
"Nolan",2014,474.14
"Nueces",2014,421.83
"Ochiltree",2014,NA
"Oldham",2014,NA
"Orange",2014,422.3
"Palo Pinto",2014,470.91
"Panola",2014,477.82
"Parker",2014,583.68
"Parmer",2014,416.67
"Pecos",2014,308.37
"Polk",2014,378.95
"Potter",2014,497.34
"Presidio",2014,489.51
"Rains",2014,NA
"Randall",2014,510.78
"Reagan",2014,NA
"Real",2014,NA
"Red River",2014,708.66
"Reeves",2014,298.51
"Refugio",2014,645.16
"Roberts",2014,NA
"Robertson",2014,638.3
"Rockwall",2014,802.03
"Runnels",2014,NA
"Rusk",2014,468.75
"Sabine",2014,NA
"San Augustine",2014,NA
"San Jacinto",2014,422.54
"San Patricio",2014,515.76
"San Saba",2014,NA
"Schleicher",2014,NA
"Scurry",2014,727.97
"Shackelford",2014,NA
"Shelby",2014,400
"Sherman",2014,NA
"Smith",2014,644.85
"Somervell",2014,NA
"Starr",2014,593.34
"Stephens",2014,625
"Sterling",2014,NA
"Stonewall",2014,NA
"Sutton",2014,NA
"Swisher",2014,NA
"Tarrant",2014,703.16
"Taylor",2014,466.98
"Terrell",2014,NA
"Terry",2014,714.29
"Throckmorton",2014,NA
"Titus",2014,500
"Tom Green",2014,504.2
"Travis",2014,490.53
"Trinity",2014,445.86
"Tyler",2014,280.37
"Upshur",2014,611
"Upton",2014,NA
"Uvalde",2014,391.2
"Val Verde",2014,577.37
"Van Zandt",2014,792.25
"Victoria",2014,466
"Walker",2014,415.43
"Waller",2014,480.48
"Ward",2014,427.81
"Washington",2014,602.41
"Webb",2014,418.87
"Wharton",2014,417.42
"Wheeler",2014,NA
"Wichita",2014,330.58
"Wilbarger",2014,NA
"Willacy",2014,273.04
"Williamson",2014,514.89
"Wilson",2014,719.84
"Winkler",2014,NA
"Wise",2014,518.13
"Wood",2014,456.73
"Yoakum",2014,NA
"Young",2014,391.3
"Zapata",2014,292.21
"Zavala",2014,558.38
"Anderson",2015,251.97
"Andrews",2015,526.32
"Angelina",2015,502.06
"Aransas",2015,579.71
"Archer",2015,769.23
"Armstrong",2015,NA
"Atascosa",2015,595.93
"Austin",2015,576.37
"Bailey",2015,802.92
"Bandera",2015,909.09
"Bastrop",2015,458.02
"Baylor",2015,NA
"Bee",2015,606.8
"Bell",2015,684.23
"Bexar",2015,639.65
"Blanco",2015,NA
"Borden",2015,NA
"Bosque",2015,860.22
"Bowie",2015,444.8
"Brazoria",2015,508.92
"Brazos",2015,544.64
"Brewster",2015,NA
"Briscoe",2015,NA
"Brooks",2015,512.82
"Brown",2015,391.2
"Burleson",2015,604.65
"Burnet",2015,651.34
"Caldwell",2015,516.61
"Calhoun",2015,376.18
"Callahan",2015,748.3
"Cameron",2015,507.05
"Camp",2015,639.53
"Carson",2015,NA
"Cass",2015,466.32
"Castro",2015,480
"Chambers",2015,742.19
"Cherokee",2015,519.95
"Childress",2015,NA
"Clay",2015,NA
"Cochran",2015,NA
"Coke",2015,NA
"Coleman",2015,833.33
"Collin",2015,602.78
"Collingsworth",2015,NA
"Colorado",2015,528.3
"Comal",2015,528.26
"Comanche",2015,459.77
"Concho",2015,0
"Cooke",2015,533.09
"Coryell",2015,603.45
"Cottle",2015,NA
"Crane",2015,NA
"Crockett",2015,NA
"Crosby",2015,NA
"Culberson",2015,0
"Dallam",2015,382.17
"Dallas",2015,669.93
"Dawson",2015,536.59
"Deaf Smith",2015,603.45
"Delta",2015,NA
"Denton",2015,545.2
"DeWitt",2015,407.41
"Dickens",2015,NA
"Dimmit",2015,520.23
"Donley",2015,NA
"Duval",2015,441.99
"Eastland",2015,552.76
"Ector",2015,585.09
"Edwards",2015,NA
"El Paso",2015,477.99
"Ellis",2015,739.52
"Erath",2015,604.03
"Falls",2015,NA
"Fannin",2015,481.59
"Fayette",2015,249.11
"Fisher",2015,NA
"Floyd",2015,NA
"Foard",2015,NA
"Fort Bend",2015,465.4
"Franklin",2015,NA
"Freestone",2015,654.21
"Frio",2015,413.22
"Gaines",2015,478.26
"Galveston",2015,680.58
"Garza",2015,NA
"Gillespie",2015,590.55
"Glasscock",2015,NA
"Goliad",2015,NA
"Gonzales",2015,409.36
"Gray",2015,355.03
"Grayson",2015,564.01
