"County","FIPS.Code","Population","Overall.Social.Vulnerability","Socioeconomic.Social.Vulnerability","Household.Characteristics.Social.Vulnerability","Race.Ethnicity.Social.Vulnerability","Housing.Transport.Social.Vulnerability","Median.Age","Percent.Age.0.to.17","Percent.Age.Over.65","Percent.Asian","Percent.Black","Percent.Hispanic","Percent.White","Percent.Households_Limited_English","Percent.Veteran","NCHS.Rural.Urban.Code","Percent.Households.No.Computer.Device","Percent.Households.Smarphone.Only","Percent.Households.No.Internet","Percent.Commute.Less.than.15min","Percent.Commute.15min.to.29min","Percent.Commute.30min.to.59min","Percent.Commute.60min.or.More","Percent.Housing.Units.No.Vehicle","Alc.Establisments.per.100k","Percent.Days.Good.Air.Quality","Toxic.Sites.Insufficient.Data","Toxic.Sites.Under.Control","Toxic.Sites.Not.Under.Control","GINI.Index","Percent.Unemployed","Median.Household.Income","Median.Household.Income.Asian","Median.Household.Income.Black","Median.Household.Income.Hispanic","Median.Household.Income.White","Percent.in.Poverty","Percent.in.Poverty.Asian","Percent.in.Poverty.Black","Percent.in.Poverty.Hispanic","Percent.in.Poverty.White","Percent.Households.Food.Stamps","Median.Home.Value","Median.Rent","Percent.Less.than.Highschool","Percent.Highschool.Graduate","Percent.with.Associate.Degree","Percent.with.Bachelor.Degree","Percent.with.Graduate.Degree","Percent.Medicaid","Percent.Medicare.Only","Percent.Health.Insurance.Other","Percent.No.Health.Insurance","Obesity.Rate","Diabetes.Rate.Year","Diabetes.Rate.LocationName","Diabetes.Rate.Data_Value","Binge.Drinking.Rate","Smoking.Rate.Year","Smoking.Rate.LocationName","Smoking.Rate.Data_Value","Depression.Rate.Year","Depression.Rate.LocationName","Depression.Rate.Data_Value","Anxiety.Disorders.Rate.Medicare","Bipolar.Disorder.Rate.Medicare","Depressive.Disorders.Rate.Medicare","Personality.Disorders.Rate.Medicare","Opioid.Overuse.Disorder.Rate.Medicare","Birth.Defects.per.10k","Deaths.from.Injury.per.100k","Deaths.from.Transport.Accident.per.100k","Deaths.from.Suicide.per.100k","Deaths.from.Assault.per.100k","Maternal.Deaths.per.100k","Opioid.Overdose.Deaths.per.100k","Drug.Poisoning.Deaths.per.100k","Traffic.Fatalities.per.100k","Traffic.Fatalities.BAC.08.per.100k","Opioid.Dispensing.Rate.per.100","PCPs.per.100k","LCDCs.per.100k","LPCs.per.100k","LCSWs.per.100k","LBSWs.per.100k","LMSWs.per.100k","Dentists.per.1k","Nurse.Practitioners.per.1k","Physician.Assistants.per.1k","Mental.Health.Providers.per.100k","Percent.Clinicians.Accpeting.Medicaid","Dentist.Shortage.Code","Mental.Healthcare.Shortage.Code","Primary.Care.Shortage.Code","Urgent.Care.Orgs.per.1k","Health.Centers.per.1k","Community.Mental.Health.Centers.per.1k","Rural.Health.Clinics.per.1k","Home.Health.Agencies.per.1k","Hospices.per.1k","Nursing.Facilities.per.1k","Nursing.Facility.Beds.per.1k","Skilled.Nursing.Facilities.per.1k","Skilled.Nursing.Facility.Beds.per.1k","Nursing.Home.Occupancy.Rate","Percent.Nursing.Homes.For.Profit","Percent.Nursing.Homes.Chain","Average.Rehospitalization.Rate","Average.Successful.Discharge.Rate","Percent.Hospitals.Private.For.Profit","Percent.Hospitals.Non.Profit","Percent.Hospitals.Government","Syringe.Exchange.Programs.per.1k","Substance.Abuse.Facilities.per.1k","Substance.Abuse.Facilities.Accepting.Medicare.per.1k","Mental.Health.Facilities.per.1k","Mental.Health.Facilities.Accepting.Medicare.per.1k","Median.Distance.to.Urgent.Care","Median.Distance.to.Emergency.Department","Median.Distance.to.Medical.Surgical.ICU","Median.Distance.to.Trauma.Center","Median.Distance.to.Pediatric.ICU","Median.Distance.to.Obstetrics.Department","Median.Distance.to.Health.Clinic","Median.Distance.to.Alcohol.Drug.Incare"
"Jack","48237","8888","0.5099","0.4071","0.3755","0.1423","0.8498","40.1","20.86","17.82","0.25","3.69","17.05","91.55","4.83","7.38","6","10.76","17.64","21.62","36.54","24.91","24.94","13.61","9.28","","","0","0","0","0.46","7","54087","","11392","25238","60603","15.37","0","89.8","36","10.53","12.24","95200","666","18.86","38.16","28.48","9.16","5.34","16.18","6.06","4.02","15.91","37.4","2020","Jack","13","18.6","2020","Jack","22","2020","Jack","22.9","18","4","20","1","2","","94.57","33.78","22.52","","","","24.77","","","8.5","101.8","33.9","22.6","0","22.6","0","0","0.33","0","11.19","97.06","2","1","1","0","0","0","0.23","0","0","0.23","16.43","0","0","34.62","100","100","0.08","0.14","50","33.33","16.67","0","0","0","0","0","40.47","2.31","23.58","25.59","58.47","2.31","2.59","39.29"
"Jackson","48239","14822","0.5296","0.4229","0.6324","0.502","0.5296","39.2","25.5","18.11","0.42","7.56","33.3","83.25","2.56","5.33","6","12.31","17.12","21.16","33.51","24.3","32.84","9.34","5.77","","","0","0","0","0.41","5.8","58243","","41175","52695","65276","13.81","0","26.88","19.97","8.73","14.81","110100","830","18.57","33.14","32.9","11.43","3.97","13.56","5.95","3.67","18.02","35.9","2020","Jackson","13.9","16.8","2020","Jackson","18.4","2020","Jackson","21.5","18","2","17","1","3","486.73","51.24","28.32","17.53","","","","","47.227095","26.986911","16.5","56.6","0","44","0","0","12.6","0.34","0.61","0.07","20.33","100","2","1","1","0","0","0","0.34","0","0","0.27","16.87","0","0","72.95","0","100","0.12","0.33","30","20","50","0","0","0","0.0673","0.0673","22.64","3.91","3.91","3.91","90.51","10.67","2.7","23.57"
"Jasper","48241","35562","0.7628","0.8577","0.6364","0.2016","0.8142","41.9","23.84","20.02","0.45","16.5","6.86","76.26","0.79","7.65","6","14.6","29.25","23.96","33.01","25.38","22.13","19.48","5.21","","","0","2","0","0.47","11.2","42756","","20746","31524","49693","20.25","18.75","42.15","20.75","15.4","12.55","105200","749","15","44.86","26.83","7.87","5.44","16.17","9.69","5.28","18.98","39","2020","Jasper","15.8","16.2","2020","Jasper","23.4","2020","Jasper","23.5","21","3","20","1","6","379.46","70.23","28.09","21.35","6.18","","","17.42","28.119903","8.435971","27.4","42.2","2.8","47.9","0","25.3","22.5","0.31","0.62","0.08","45.03","98.6","0","1","1","0","0.03","0","0.2","0.14","0.03","0.14","12.96","0","0","62.28","50","50","0.26","0.36","50","45.83","4.17","0","0","0","0.0283","0.0283","43.61","2.57","10.6","13.06","44.58","12.94","1.73","17.88"
"Jeff Davis","48243","2245","0.415","0.6482","0.1344","0.2648","0.4783","61.3","14.61","38.22","0","0.94","26.86","89.27","10.39","7.46","6","13.12","9.49","29.57","43.25","33.09","18.72","4.93","2.22","","","0","0","0","0.37","5.1","","","","","","19","","","8.6","23.1","19.78","134800","1081","19.27","15.41","35.4","14.27","15.65","13.55","13.51","7.14","24.13","38.8","2020","Jeff Davis","20","12.6","2020","Jeff Davis","17.9","2020","Jeff Davis","20.8","8","1","7","0","1","","","","","","","","","","","42.8","47.3","0","47.3","0","0","47.3","0","0.45","0","219.88","100","1","1","1","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","0","0","127.03","24.82","24.82","24.82","127.58","24.82","20.54","120.12"
"Jefferson","48245","253136","0.8063","0.8221","0.7352","0.7668","0.6996","36.5","24.07","14.4","3.82","33.55","21.2","54.89","5.37","7.14","3","9.51","16.65","19.84","31.25","47.71","15.91","5.13","7.47","7.505847","72.45","0","3","0","0.48","11.9","50840","66018","36539","45279","67707","17.97","25.09","24.33","25.21","8.67","15.52","120300","869","16.06","32.11","32.57","12.93","6.33","16.26","6.44","4.31","19.84","39.6","2020","Jefferson","14.6","16.8","2020","Jefferson","19.8","2020","Jefferson","20.7","20","4","17","2","6","446.43","50.25","18.77","13.96","12.31","1.1","6.07","17.75","19.357183","7.110802","70.3","70","30.2","65.7","11.2","34","27.1","0.63","1.38","0.16","104.94","95.97","2","2","2","0","0.01","0.01","0.01","0.19","0.04","0.08","8.2","0.01","0.26","63.6","66.67","88.89","0.18","0.42","56.36","41.82","1.82","0","0","0.02","0.02","0.02","10.24","1.7","1.83","3.36","9.55","1.96","3.37","3.16"
"Jim Hogg","48247","5187","0.9249","0.9407","0.9684","0.9723","0.4427","29.7","34.59","13.92","0","0.48","92.64","91.75","13.46","3.48","6","27.83","16.18","42.27","62.34","7.75","11.31","18.6","8.74","","","0","0","0","0.44","9.5","35736","","","34261","83321","31.29","","0","32.44","11.94","30.1","77000","496","25.46","41.23","20.08","9.79","3.43","31.68","3.3","5.36","18.47","42.5","2020","Jim Hogg","20.4","14.6","2020","Jim Hogg","17.5","2020","Jim Hogg","19.1","26","3","20","0","1","","38.49","","","","","","","","","","0","0","0","0","19.7","39.4","0.19","0","0","","100","2","1","1","0","0.19","0","0.39","0.19","0","0.19","11.57","0","0","","","","0.11","0","66.67","33.33","0","0","0","0","0.1929","0.1929","76.03","33.69","33.69","50.36","78.36","50.36","0.99","52.25"
"Jim Wells","48249","40796","0.751","0.6087","0.834","0.9209","0.5336","35","27.91","15.41","0.54","0.77","80.35","93.13","8.01","6.03","5","24.36","10.03","32.88","35.7","23.87","26.81","13.61","7.18","12.256104","","0","0","0","0.47","13","45857","","","40434","60370","21.59","0","19.25","23.44","14.26","17.59","76900","779","21.83","35.22","26.78","12.57","3.6","20.83","8.31","4.26","16.57","40.4","2020","Jim Wells","17.1","15.9","2020","Jim Wells","16.5","2020","Jim Wells","19.3","27","5","22","1","3","903.73","51.53","17.67","18.16","6.87","","","11.29","9.804883","4.902441","44","51.3","35","58.3","2.3","30.3","14","0.35","0.69","0.17","83.99","92.31","2","1","2","0","0.02","0.02","0.12","0.37","0.02","0.1","5.78","0.02","0.54","56.03","100","0","0.23","0.48","48.39","51.61","0","0","0","0","0","0","29.85","2.97","2.97","2.97","41.97","2.97","1.09","40.24"
"Johnson","48251","171359","0.2767","0.2292","0.2964","0.2767","0.5652","36.9","25.94","14.08","0.9","3.82","21.98","88.82","3.33","5.75","2","6.89","9.39","9.28","16.21","26.49","48.6","8.7","2.26","2.334281","91.69","0","0","0","0.4","6.5","65311","69570","72743","57835","67256","10.34","10.32","8.83","13.28","9.61","8.98","168500","1047","14.24","35.81","30.43","13.47","6.05","10.55","7.69","3.75","16.75","37.4","2020","Johnson","11.7","18.3","2020","Johnson","19.2","2020","Johnson","21.9","20","4","22","1","3","562.65","42.81","17.85","14.58","2.92","","6.3","12.95","11.087833","4.084991","37.3","37.3","15.7","62.9","17.5","12.8","28.5","0.4","0.57","0.15","76.22","98.35","0","0","0","0.02","0","0.01","0.04","0.04","0.01","0.08","5.04","0","0","72.6","100","75","0.12","0.5","74.07","24.07","1.85","0","0","0.0111","0.0056","0.0056","5.51","5.44","5.83","15.51","20.52","5.83","2.33","12.34"
"Jones","48253","19874","0.3557","0.5217","0.083","0.6047","0.332","38.1","17.5","15.47","0.34","13.76","27.79","68.77","4.46","7.23","4","11.9","13.27","18.79","36.78","32.93","25.17","5.12","5.21","","","0","0","0","0.41","7","52471","","26500","36487","58819","11.45","0","34.33","18.09","7.74","13.83","80800","773","21.02","38.15","28.97","9.2","2.65","13.7","6.72","6.06","17.51","40.9","2020","Jones","13","20.1","2020","Jones","21.4","2020","Jones","20.2","16","2","15","1","1","625","74.17","30.07","21.05","","","","","25.158499","10.063399","10.8","20.3","15.2","25.3","0","15.2","10.1","0.1","0.4","0.05","4.98","100","2","1","1","0","0","0","0.15","0","0.05","0.2","15.9","0.05","0.6","30.51","100","0","0.17","0","54.55","9.09","36.36","0","0","0","0","0","18.14","3.8","17.6","10.81","17.6","17.6","11.19","21.92"
"Karnes","48255","15547","0.7115","0.3597","0.5138","0.8182","0.9565","35.6","21.68","14.2","0.55","5.85","55.57","76.22","6.77","6.85","6","14.21","13.62","27.94","48.56","25.23","16.33","9.88","6.55","","100","0","0","0","0.52","6.3","52896","","","40757","77778","17.25","0","0","26.29","6.1","12.87","109500","752","24.27","36.28","23.56","11.29","4.6","15.74","5.45","4.96","14.81","38.9","2020","Karnes","13.7","18.4","2020","Karnes","18.9","2020","Karnes","19.9","21","3","16","1","2","659.34","56.95","20.71","","","","","","19.296327","0","23.2","32.5","19.5","32.5","0","6.5","26","0.58","0.32","0.06","12.82","97.44","0","1","1","0","0.06","0","0.19","0.13","0","0.32","7.98","0","0","80","100","0","0.07","0.13","42.86","35.71","21.43","0","0","0","0.0643","0.0643","39.99","5.63","5.63","5.63","57.55","7.67","2.66","45.57"
"Kaufman","48257","129792","0.332","0.336","0.3399","0.4427","0.3834","35.3","27.85","11.76","1.33","12.68","22.41","77.22","2.46","7.38","2","5.99","9.14","11.24","19.59","21.23","38.05","21.13","3.34","","85.25","0","1","0","0.41","6.5","72179","80828","48195","65320","79668","10.74","13.9","21.89","12.32","7.9","9.95","195400","1087","14.18","33.07","32.57","14.18","5.99","12.13","5.39","4.55","13.42","36.6","2020","Kaufman","11.3","18.4","2020","Kaufman","18.3","2020","Kaufman","21.8","20","5","19","1","2","705.74","50.99","21.41","15.56","5.7","","5.85","13.4","22.343442","5.393245","20.7","34.4","30.4","64.7","23.2","15.2","37.6","0.39","0.42","0.12","91.81","95.6","0","2","0","0.01","0.01","0","0.01","0.05","0.01","0.1","6.97","0.02","0.15","60.06","100","80","0.13","0.42","64.71","29.41","5.88","0","0","0","0.0279","0.021","9.83","6.84","6.84","10.06","28.14","7.72","10.58","21.26"
"Kendall","48259","45491","0.0356","0.0395","0.1304","0.2609","0.0791","42.1","23.38","19.23","1.04","0.43","24.17","87.73","1.45","10.12","2","3.43","5.21","5.44","30.86","19.02","38.14","11.98","2.31","15.387659","","0","0","0","0.48","5","98692","","40875","93102","101333","4.85","0","3.15","5.52","4.82","3.86","378500","1278","5.95","19.2","29.59","28.7","16.56","8.09","4.62","8.71","10.36","33.4","2020","Kendall","11.3","17.6","2020","Kendall","12.9","2020","Kendall","20.3","14","2","15","1","1","796.92","46.02","13.59","14.46","","","","6.57","13.189422","4.396474","29.5","103.7","41.1","129.7","15.1","10.8","19.4","0.76","0.99","0.41","170.77","98.31","0","1","0","0.04","0","0.02","0","0.07","0.02","0.11","7.39","0","0","66.47","50","100","0.1","0.46","71.43","28.57","0","0","0","0","0","0","3.58","16.01","18.24","21.86","23.33","18.69","14.73","17.69"
"Kenedy","48261","391","0.6719","0.664","0.913","0.9921","0.1028","41.2","30.95","28.13","0.26","0","96.68","93.09","51.94","0","5","41.86","27.13","49.61","44.67","36.67","18.67","0","0","","","0","0","0","0.29","5.4","40083","","","40917","","2.05","0","","1.59","16.67","20.93","","","78.15","14.44","5.93","0.37","1.11","42.2","9.21","0","27.37","34.9","2020","Kenedy","14.7","15","2020","Kenedy","5.2","2020","Kenedy","14.9","35","0","26","0","0","","","","","","","","","255.754476","0","","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","0","0","49.46","33.12","36.62","38.51","53.53","35.01","33.12","48.45"
"Kent","48263","704","0.0791","0.0316","0.581","0.0158","0.2055","43.5","29.4","30.4","0","1.14","10.51","93.32","1.75","8.05","6","6.64","9.44","12.94","69.95","9.86","12.21","7.98","5.59","","","0","0","0","0.38","3.9","61706","","","","61905","12.37","","100","54.17","7.19","8.74","64700","819","6.49","25.73","34.94","18.41","14.44","4.58","8.85","3.36","3.97","32.7","2020","Kent","12.6","16.3","2020","Kent","13.6","2020","Kent","19.9","15","0","18","0","0","","","","","","","","","","","","0","0","0","0","125.8","0","0","0","0","0","0","1","1","1","0","0","0","2.84","0","0","1.42","85.23","0","0","","","","0","","50","50","0","0","0","0","0","0","72.87","21.61","48.53","24.01","74.75","42.33","2.96","74.42"
"Kerr","48265","52195","0.4348","0.3202","0.4032","0.3281","0.6759","48","19.18","27.43","0.75","1.59","27.36","84.32","1.7","11.38","5","7.24","8.18","11.04","47.3","30.89","15.61","6.2","3.23","9.579462","","0","0","0","0.44","5.9","57196","70962","28116","48084","61858","12.52","14.6","47.63","18.69","8.9","8.71","193900","922","10.68","28.26","32.88","18.17","10.01","12.16","7.34","9.24","17.23","35.1","2020","Kerr","14.4","15.5","2020","Kerr","15.5","2020","Kerr","20.5","16","2","17","1","2","733.94","62.81","16.85","24.89","4.6","","9.57","16.85","19.158923","7.663569","39.4","101.4","111","137.8","45.9","9.6","49.7","0.7","1.04","0.13","307.98","98.87","0","1","2","0","0","0.02","0","0.04","0.02","0.08","9.91","0.02","0.54","64.19","100","100","0.18","0.48","63.16","36.84","0","0","0","0.0567","0","0","23.14","2.35","3.15","23.03","50.65","2.98","22.74","11.27"
"Kimble","48267","4375","0.336","0.5573","0.3083","0.253","0.2411","52","18.13","28.5","0","0.62","25.71","86.1","5.34","10.13","6","17.44","9.15","20.28","55.07","21.2","14.67","9.06","4.83","","","0","0","0","0.54","5.1","46602","","","33292","50268","18.87","","0","30.52","15.22","9.51","151700","684","16.27","30.65","28.35","15.28","9.45","15.32","6.83","7.8","19.65","37.1","2020","Kimble","17","14.3","2020","Kimble","18.5","2020","Kimble","21.6","12","2","13","0","2","","77.53","","","","","","","137.142857","22.857143","18.9","46","0","0","0","0","46","0.68","0.23","0.91","23.06","75","0","1","2","0","0","0","0.23","0","0","0.46","30.4","0","0","","","","","","25","50","25","0","0","0","0","0","53.2","3.34","3.34","3.45","78.13","3.34","3.45","57.03"
