"County","FIPS.Code","Population","Overall.Social.Vulnerability","Socioeconomic.Social.Vulnerability","Household.Characteristics.Social.Vulnerability","Race.Ethnicity.Social.Vulnerability","Housing.Transport.Social.Vulnerability","Median.Age","Percent.Age.0.to.17","Percent.Age.Over.65","Percent.Asian","Percent.Black","Percent.Hispanic","Percent.White","Percent.Households_Limited_English","Percent.Veteran","NCHS.Rural.Urban.Code","Percent.Households.No.Computer.Device","Percent.Households.Smarphone.Only","Percent.Households.No.Internet","Percent.Commute.Less.than.15min","Percent.Commute.15min.to.29min","Percent.Commute.30min.to.59min","Percent.Commute.60min.or.More","Percent.Housing.Units.No.Vehicle","Alc.Establisments.per.100k","Percent.Days.Good.Air.Quality","Toxic.Sites.Insufficient.Data","Toxic.Sites.Under.Control","Toxic.Sites.Not.Under.Control","GINI.Index","Percent.Unemployed","Median.Household.Income","Median.Household.Income.Asian","Median.Household.Income.Black","Median.Household.Income.Hispanic","Median.Household.Income.White","Percent.in.Poverty","Percent.in.Poverty.Asian","Percent.in.Poverty.Black","Percent.in.Poverty.Hispanic","Percent.in.Poverty.White","Percent.Households.Food.Stamps","Median.Home.Value","Median.Rent","Percent.Less.than.Highschool","Percent.Highschool.Graduate","Percent.with.Associate.Degree","Percent.with.Bachelor.Degree","Percent.with.Graduate.Degree","Percent.Medicaid","Percent.Medicare.Only","Percent.Health.Insurance.Other","Percent.No.Health.Insurance","Obesity.Rate","Diabetes.Rate.Year","Diabetes.Rate.LocationName","Diabetes.Rate.Data_Value","Binge.Drinking.Rate","Smoking.Rate.Year","Smoking.Rate.LocationName","Smoking.Rate.Data_Value","Depression.Rate.Year","Depression.Rate.LocationName","Depression.Rate.Data_Value","Anxiety.Disorders.Rate.Medicare","Bipolar.Disorder.Rate.Medicare","Depressive.Disorders.Rate.Medicare","Personality.Disorders.Rate.Medicare","Opioid.Overuse.Disorder.Rate.Medicare","Birth.Defects.per.10k","Deaths.from.Injury.per.100k","Deaths.from.Transport.Accident.per.100k","Deaths.from.Suicide.per.100k","Deaths.from.Assault.per.100k","Maternal.Deaths.per.100k","Opioid.Overdose.Deaths.per.100k","Drug.Poisoning.Deaths.per.100k","Traffic.Fatalities.per.100k","Traffic.Fatalities.BAC.08.per.100k","Opioid.Dispensing.Rate.per.100","PCPs.per.100k","LCDCs.per.100k","LPCs.per.100k","LCSWs.per.100k","LBSWs.per.100k","LMSWs.per.100k","Dentists.per.1k","Nurse.Practitioners.per.1k","Physician.Assistants.per.1k","Mental.Health.Providers.per.100k","Percent.Clinicians.Accpeting.Medicaid","Dentist.Shortage.Code","Mental.Healthcare.Shortage.Code","Primary.Care.Shortage.Code","Urgent.Care.Orgs.per.1k","Health.Centers.per.1k","Community.Mental.Health.Centers.per.1k","Rural.Health.Clinics.per.1k","Home.Health.Agencies.per.1k","Hospices.per.1k","Nursing.Facilities.per.1k","Nursing.Facility.Beds.per.1k","Skilled.Nursing.Facilities.per.1k","Skilled.Nursing.Facility.Beds.per.1k","Nursing.Home.Occupancy.Rate","Percent.Nursing.Homes.For.Profit","Percent.Nursing.Homes.Chain","Average.Rehospitalization.Rate","Average.Successful.Discharge.Rate","Percent.Hospitals.Private.For.Profit","Percent.Hospitals.Non.Profit","Percent.Hospitals.Government","Syringe.Exchange.Programs.per.1k","Substance.Abuse.Facilities.per.1k","Substance.Abuse.Facilities.Accepting.Medicare.per.1k","Mental.Health.Facilities.per.1k","Mental.Health.Facilities.Accepting.Medicare.per.1k","Median.Distance.to.Urgent.Care","Median.Distance.to.Emergency.Department","Median.Distance.to.Medical.Surgical.ICU","Median.Distance.to.Trauma.Center","Median.Distance.to.Pediatric.ICU","Median.Distance.to.Obstetrics.Department","Median.Distance.to.Health.Clinic","Median.Distance.to.Alcohol.Drug.Incare"
"King","48269","279","0.1265","0.8814","0.1028","0.1186","0.004","39.4","18.64","11.11","0","0","21.51","97.13","2.22","2.2","6","5.56","10","7.78","65.56","17.78","11.11","5.56","0","","","0","0","0","0.49","1.7","39286","","","38750","39375","36.2","","","23.33","39.73","5.56","22800","750","21.62","51.35","13.51","9.91","3.6","10.04","5.02","0","23.66","40.8","2020","King","18.1","15.1","2020","King","26.6","2020","King","23.8","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","0","0","87.69","25.3","31.75","32.09","87.38","25.3","25.3","89.56"
"Kinney","48271","3674","0.6285","0.3439","0.7747","0.7866","0.5573","51","12.57","29.29","0","0","60.91","97.25","4.27","20.08","6","31.25","12.2","40.07","93.82","2.24","3.76","0.18","6.51","","","0","0","0","0.45","6","39972","","","53183","37297","16","","","19.93","10.4","22.44","82000","672","19.01","27.85","34.37","12.9","5.86","13.76","10.57","11.06","17.33","38.7","2020","Kinney","17.5","15.4","2020","Kinney","16.4","2020","Kinney","18.9","11","1","10","0","1","","70.5","","","","","","","54.436581","27.218291","1.6","0","0","0","0","0","0","0","0.27","0.27","","0","1","1","1","0","0.27","0","0","0.27","0","0","0","0","0","","","","","","50","50","0","0","0","0","0","0","40.33","29.01","29.01","29.01","111.74","29.01","0.64","84.26"
"Kleberg","48273","30725","0.8933","0.8577","0.5771","0.917","0.9526","28.4","24.39","13.4","2.28","3.23","73.03","81.59","5.81","9.4","5","11.28","17.35","18.11","53.54","22.91","17.36","6.19","7.68","13.018714","72.73","0","0","0","0.48","8.4","47301","2499","","44022","74474","27.17","64.45","38.49","30.82","9.62","18.95","98500","898","20.94","27.77","26.98","17.15","7.15","20.35","5.89","7.04","15.45","37.6","2020","Kleberg","13.5","17.6","2020","Kleberg","14.6","2020","Kleberg","19.9","20","3","16","0","3","525","40.66","17.43","8.39","","","","7.1","13.018714","6.509357","23.6","58.1","45.2","77.5","3.2","25.8","22.6","0.56","0.4","0.13","48.89","83.82","0","1","1","0","0","0","0.16","0.13","0","0.03","5.08","0","0","74.17","100","100","0.18","0.81","77.78","22.22","0","0","0","0","0","0","28.85","2.56","2.56","2.56","33.83","2.56","1.15","32.39"
"Knox","48275","3679","0.3953","0.3715","0.8854","0.5257","0.0909","41.6","25.5","18.48","1.22","5.33","34.87","80.46","10.33","6.64","6","14.99","7.82","17.29","60.03","23.09","8.64","8.25","2.22","","","0","0","0","0.41","5.6","50719","","","42456","58409","11.76","0","29.74","18.1","7.81","11.12","43300","560","19.33","30.63","31.19","11.66","7.19","17.76","3.57","6.95","16.46","36.9","2020","Knox","15.2","16","2020","Knox","18.5","2020","Knox","21.4","18","4","19","1","2","0","64.81","","","","","","","108.725197","54.362599","26.4","25.4","0","25.4","0","25.4","0","0","1.63","0","","100","1","1","1","0","0","0","1.09","0.82","0","0.54","34.52","0","0","","","","0","0","18.18","63.64","18.18","0","0","0","0","0","68.01","7.51","7","7.51","68.5","7","1.61","72.34"
"La Salle","48283","7551","0.5257","0.5929","0.7431","0.2253","0.4229","36.3","20.83","15.76","0.29","1.66","84.7","78.72","15.45","7.33","6","17.46","16.29","33.38","67.32","9","13.22","10.47","3.73","","","0","0","0","0.45","6.8","47162","","","47363","","18.46","","","20.75","2.72","13.17","84000","680","35.33","44.4","13.53","5.94","0.8","14.36","8.8","2.62","23.25","39.1","2020","La Salle","13.9","19.1","2020","La Salle","16.4","2020","La Salle","18.6","15","2","10","1","0","769.23","39.74","","","","","","","13.243279","0","8","12","12","24.1","0","0","0","0","0.93","0.4","53.19","20","1","1","1","0","0.13","0","0.26","0","0","0.13","7.95","0","0","98.33","0","0","0.17","0.33","33.33","33.33","33.33","0","0","0","0","0","61.98","21.78","52.07","36.53","86.47","23.69","5.2","23.69"
"Lamar","48277","49705","0.8024","0.7708","0.9526","0.7866","0.3281","40.7","23.81","19.33","0.77","12.9","8.06","79.76","1.23","7.82","5","13.84","16.72","24.22","45.92","35.64","12.13","6.32","7.22","","","0","0","0","0.46","6.5","48036","","31304","48513","51566","18.38","0","28.18","21.11","16.63","13.72","108500","729","13.93","33.48","33.85","12.8","5.94","17.24","8.06","7.58","16.89","38.6","2020","Lamar","13.9","16.5","2020","Lamar","20.4","2020","Lamar","23.4","22","4","20","1","1","369.18","65.09","26.12","19.29","4.02","","","16.07","22.13057","10.05935","68.2","74","10","62","24","38","36","0.56","1.18","0.22","104.29","97.22","2","1","2","0.02","0","0","0.16","0.34","0.06","0.26","18.75","0.04","0.84","57.55","100","75","0.16","0.45","52.83","43.4","3.77","0","0","0","0.02","0.02","4.04","3.61","3.61","3.61","3.61","3.61","1.04","49.01"
"Lamb","48279","13018","0.2964","0.3636","0.3241","0.2569","0.3992","36.4","27.68","16.85","0.73","3.27","55.86","87.06","4.16","5.34","6","18.23","17.57","26.65","57.15","19.29","19.35","4.22","5.95","","","0","0","0","0.43","5.2","44935","93235","24740","42912","53023","19.38","12.63","22.86","22.61","15.24","12.22","67900","715","24.19","35.06","28.19","9.8","2.76","16.45","4.87","3.7","23.68","40","2020","Lamb","16.8","15.7","2020","Lamb","19.8","2020","Lamb","21.6","13","1","14","1","2","481.93","65.9","32.19","","","","","","15.363343","7.681672","14.5","39.1","7.8","39.1","0","23.5","15.7","0.16","0.39","0.24","23.27","100","1","1","1","0","0","0","0.69","0","0.08","0.46","18.51","0.08","0.46","75.92","50","50","0.11","0.24","72.73","18.18","9.09","0","0","0","0","0","46.74","4.26","24.8","11.7","43.73","4.26","1.03","42.12"
"Lampasas","48281","21152","0.8419","0.7312","0.5968","0.9407","0.8972","43.4","21.04","20.05","1.14","4.1","19.67","84.73","0.6","21.59","3","9.17","8.86","15.08","36.56","26.88","24.84","11.72","5.42","18.910741","","0","0","0","0.41","5.4","64808","","140212","48506","66537","10.92","4.2","3.6","10.93","10.36","9.77","166500","782","10.15","29.28","42.15","12.35","6.07","11.78","3.33","17.34","13.94","34.9","2020","Lampasas","13.5","16.8","2020","Lampasas","17.9","2020","Lampasas","21.7","15","2","15","1","2","426.54","48.01","23.53","18.83","","","","11.3","18.910741","0","15.9","38","38","71.3","23.8","4.8","33.3","0.14","0.32","0.05","60.67","92.06","0","1","2","0","0","0","0.09","0.05","0","0.09","7.56","0","0","100","100","100","0.15","0.58","75","25","0","0","0","0","0","0","33.33","5.77","20.39","5.83","46.88","5.83","6.94","21.3"
"Lavaca","48285","20072","0.17","0.0435","0.2688","0.2372","0.5771","43.6","23.62","23.32","0.45","6.05","19.19","80.01","2.43","7.96","6","18.84","12.72","20.48","40.74","25.26","21.09","12.9","4.97","","","0","0","0","0.45","5.2","54211","","38810","48313","57738","9.03","16.67","24.39","16.56","6.01","8.43","171000","776","13.81","40.7","27.63","13.29","4.57","10.19","6.69","4.7","9.44","35.6","2020","Lavaca","14.1","16.3","2020","Lavaca","18.3","2020","Lavaca","21.7","18","3","18","1","2","570.18","49.83","27.9","12.95","","","","","9.964129","0","12.4","62.7","4.8","28.9","4.8","19.3","4.8","0.25","0.3","0.4","14.89","96.36","1","2","0","0","0","0","0.3","0.1","0","0.3","25.16","0","0","66.36","50","50","0.19","0.29","25","62.5","12.5","0","0","0","0","0","40.8","2.72","11.37","4.31","75.58","11.37","1.42","35.85"
"Lee","48287","17174","0.415","0.3043","0.3874","0.4071","0.6087","41.7","21.95","18.93","1.25","11.34","23.82","82.65","5.62","6.74","6","13.14","14.56","17.68","37.87","19.97","22.9","19.26","2.91","","","0","0","0","0.42","4.9","56696","","31979","40250","63455","11.5","0","27.6","19.04","6.23","10.49","162800","897","17","36.59","32.44","9.44","4.54","11.11","5.37","4.57","15.25","37.6","2020","Lee","14.5","16.6","2020","Lee","20.2","2020","Lee","22.2","15","3","16","1","1","315.79","73.24","36.04","19.76","","","","","23.291021","11.645511","11","22.7","22.7","62.5","0","11.4","17.1","0.29","0.23","0.17","63.81","86.21","0","1","1","0.06","0","0","0.29","0.06","0","0.17","13.28","0","0","76.47","0","50","0.2","0.1","58.33","25","16.67","0","0","0","0","0","5.51","5.52","22.87","17.05","46.89","5.52","1.52","21"
"Leon","48289","17325","0.4269","0.6759","0.6996","0.17","0.1423","44.7","22.59","24.59","0.84","6.77","14.72","85.99","3.06","9.38","6","12.77","16.67","22.52","34.65","20.02","32.31","13.02","3.03","","","0","0","0","0.49","7.8","43392","170179","24455","35256","50588","17.73","0","40","36.79","11.7","8.61","120300","772","18.09","39.04","27.88","11.27","3.73","14.19","7.05","5.2","19.06","37.9","2020","Leon","16.4","15.3","2020","Leon","21.3","2020","Leon","22.8","15","3","16","1","2","422.54","86.5","43.82","25.37","","","","17.3","40.40404","23.088023","7.8","22.6","11.3","11.3","0","16.9","5.6","0.17","0.34","0.11","17.24","87.5","1","1","2","0","0","0","0.23","0","0","0.17","8.43","0","0","48.65","0","100","0","0","75","25","0","0","0","0","0","0","34.83","13.65","29.4","25.39","70.28","13.65","8.43","41.28"
"Liberty","48291","86173","0.913","0.9486","0.6087","0.4387","0.9842","35","26.57","12.97","0.46","9.48","26.75","77.08","4.71","8.21","2","11.23","16.64","16.07","21.58","16.17","35.7","26.56","5.58","3.481369","","0","1","0","0.45","10.6","50917","74479","48315","44459","54946","14.76","24.24","17.34","19.61","11.95","16.59","115300","857","21.76","39.05","29.31","7.12","2.76","16.04","7.14","3.38","23.38","40","2020","Liberty","13.1","18.5","2020","Liberty","22.5","2020","Liberty","23.4","18","4","17","2","3","599.82","71.62","34.77","19.24","8.11","","6.26","15.53","24.369582","6.962738","28.8","36.3","12.9","23.5","4.7","3.5","4.7","0.27","0.34","0.08","19.27","96.03","1","2","1","0.02","0","0","0.1","0.12","0.01","0.06","3.64","0","0","57.75","33.33","33.33","0.15","0.5","41.18","50","8.82","0","0","0.0109","0.0218","0.0218","8.1","7.94","21.77","22.68","30.97","22.12","4.54","17.73"
"Limestone","48293","23364","0.8142","0.8142","0.7391","0.5296","0.8458","40.3","22.41","19.21","0.87","17.48","22.13","73.29","3.82","9.6","6","18.01","16.14","29.44","37.64","32.68","23.16","6.52","4.14","","","0","0","0","0.45","7.1","45781","52829","26217","45250","51590","19.27","22.22","26.43","22.4","16.36","14.25","115400","678","16.81","35.26","31.26","11.72","4.96","19.72","6","7.54","18.87","39.3","2020","Limestone","15.5","16.2","2020","Limestone","20.6","2020","Limestone","21.8","20","5","19","1","2","722.02","54.57","21.31","19.61","","","","10.23","29.960623","12.840267","25.9","76.5","12.7","42.5","0","34","12.7","0.34","0.56","0.21","46.93","100","1","1","2","0","0","0","0.04","0.09","0","0.26","15.79","0","0","64.58","75","75","0.11","0.34","75","15","10","0","0","0","0.0428","0.0428","40.77","1.25","6.02","1.25","65.42","21.79","9.21","17.71"
