"County","Year","Race","Infant_Deaths"
"Ellis",2019,"Other",0
"Ellis",2019,"White",10
"Erath",2019,"Hispanic",0
"Erath",2019,"Black",0
"Erath",2019,"Other",0
"Erath",2019,"White",NA
"Falls",2019,"Hispanic",0
"Falls",2019,"Black",0
"Falls",2019,"Other",0
"Falls",2019,"White",NA
"Fannin",2019,"Hispanic",0
"Fannin",2019,"Black",NA
"Fannin",2019,"Other",0
"Fannin",2019,"White",0
"Fayette",2019,"Hispanic",NA
"Fayette",2019,"Black",NA
"Fayette",2019,"Other",0
"Fayette",2019,"White",0
"Floyd",2019,"Hispanic",NA
"Floyd",2019,"Black",0
"Floyd",2019,"Other",0
"Floyd",2019,"White",0
"Fort Bend",2019,"Hispanic",NA
"Fort Bend",2019,"Black",18
"Fort Bend",2019,"Other",10
"Fort Bend",2019,"White",NA
"Freestone",2019,"Hispanic",NA
"Freestone",2019,"Black",0
"Freestone",2019,"Other",0
"Freestone",2019,"White",NA
"Frio",2019,"Hispanic",NA
"Frio",2019,"Black",0
"Frio",2019,"Other",0
"Frio",2019,"White",0
"Galveston",2019,"Hispanic",NA
"Galveston",2019,"Black",NA
"Galveston",2019,"Other",0
"Galveston",2019,"White",NA
"Gillespie",2019,"Hispanic",0
"Gillespie",2019,"Black",0
"Gillespie",2019,"Other",0
"Gillespie",2019,"White",NA
"Gray",2019,"Hispanic",NA
"Gray",2019,"Black",0
"Gray",2019,"Other",0
"Gray",2019,"White",NA
"Grayson",2019,"Hispanic",NA
"Grayson",2019,"Black",NA
"Grayson",2019,"Other",NA
"Grayson",2019,"White",NA
"Gregg",2019,"Hispanic",0
"Gregg",2019,"Black",NA
"Gregg",2019,"Other",NA
"Gregg",2019,"White",NA
"Grimes",2019,"Hispanic",NA
"Grimes",2019,"Black",0
"Grimes",2019,"Other",0
"Grimes",2019,"White",0
"Guadalupe",2019,"Hispanic",NA
"Guadalupe",2019,"Black",0
"Guadalupe",2019,"Other",NA
"Guadalupe",2019,"White",NA
"Hale",2019,"Hispanic",NA
"Hale",2019,"Black",0
"Hale",2019,"Other",0
"Hale",2019,"White",NA
"Hall",2019,"Hispanic",0
"Hall",2019,"Black",0
"Hall",2019,"Other",0
"Hall",2019,"White",NA
"Hardin",2019,"Hispanic",0
"Hardin",2019,"Black",0
"Hardin",2019,"Other",0
"Hardin",2019,"White",NA
"Harris",2019,"Hispanic",153
"Harris",2019,"Black",153
"Harris",2019,"Other",19
"Harris",2019,"White",68
"Harrison",2019,"Hispanic",0
"Harrison",2019,"Black",NA
"Harrison",2019,"Other",0
"Harrison",2019,"White",NA
"Hays",2019,"Hispanic",NA
"Hays",2019,"Black",NA
"Hays",2019,"Other",NA
"Hays",2019,"White",NA
"Henderson",2019,"Hispanic",NA
"Henderson",2019,"Black",0
"Henderson",2019,"Other",0
"Henderson",2019,"White",NA
"Hidalgo",2019,"Hispanic",50
"Hidalgo",2019,"Black",0
"Hidalgo",2019,"Other",0
"Hidalgo",2019,"White",NA
"Hill",2019,"Hispanic",0
"Hill",2019,"Black",0
"Hill",2019,"Other",0
"Hill",2019,"White",NA
"Hockley",2019,"Hispanic",NA
"Hockley",2019,"Black",0
"Hockley",2019,"Other",0
"Hockley",2019,"White",NA
"Hood",2019,"Hispanic",NA
"Hood",2019,"Black",0
"Hood",2019,"Other",0
"Hood",2019,"White",NA
"Hopkins",2019,"Hispanic",NA
"Hopkins",2019,"Black",0
"Hopkins",2019,"Other",0
"Hopkins",2019,"White",NA
"Houston",2019,"Hispanic",0
"Houston",2019,"Black",NA
"Houston",2019,"Other",0
"Houston",2019,"White",NA
"Howard",2019,"Hispanic",NA
"Howard",2019,"Black",0
"Howard",2019,"Other",0
"Howard",2019,"White",NA
"Hudspeth",2019,"Hispanic",NA
"Hudspeth",2019,"Black",0
"Hudspeth",2019,"Other",0
"Hudspeth",2019,"White",0
"Hunt",2019,"Hispanic",NA
"Hunt",2019,"Black",NA
"Hunt",2019,"Other",0
"Hunt",2019,"White",NA
"Hutchinson",2019,"Hispanic",NA
"Hutchinson",2019,"Black",0
"Hutchinson",2019,"Other",0
"Hutchinson",2019,"White",NA
"Jack",2019,"Hispanic",NA
"Jack",2019,"Black",0
"Jack",2019,"Other",0
"Jack",2019,"White",0
"Jackson",2019,"Hispanic",NA
"Jackson",2019,"Black",0
"Jackson",2019,"Other",0
"Jackson",2019,"White",NA
"Jasper",2019,"Hispanic",0
"Jasper",2019,"Black",0
"Jasper",2019,"Other",0
"Jasper",2019,"White",NA
"Jeff Davis",2019,"Hispanic",0
"Jeff Davis",2019,"Black",0
"Jeff Davis",2019,"Other",0
"Jeff Davis",2019,"White",NA
"Jefferson",2019,"Hispanic",NA
"Jefferson",2019,"Black",11
"Jefferson",2019,"Other",0
"Jefferson",2019,"White",NA
"Jim Hogg",2019,"Hispanic",NA
"Jim Hogg",2019,"Black",0
"Jim Hogg",2019,"Other",0
"Jim Hogg",2019,"White",0
"Jim Wells",2019,"Hispanic",NA
"Jim Wells",2019,"Black",0
"Jim Wells",2019,"Other",0
"Jim Wells",2019,"White",0
"Johnson",2019,"Hispanic",NA
"Johnson",2019,"Black",NA
"Johnson",2019,"Other",0
"Johnson",2019,"White",NA
"Jones",2019,"Hispanic",NA
"Jones",2019,"Black",0
"Jones",2019,"Other",0
"Jones",2019,"White",NA
"Karnes",2019,"Hispanic",NA
"Karnes",2019,"Black",0
"Karnes",2019,"Other",0
"Karnes",2019,"White",NA
"Kaufman",2019,"Hispanic",NA
"Kaufman",2019,"Black",NA
"Kaufman",2019,"Other",0
"Kaufman",2019,"White",NA
"Kendall",2019,"Hispanic",NA
"Kendall",2019,"Black",0
"Kendall",2019,"Other",0
"Kendall",2019,"White",0
"Kerr",2019,"Hispanic",NA
"Kerr",2019,"Black",0
"Kerr",2019,"Other",0
"Kerr",2019,"White",NA
"Kimble",2019,"Hispanic",NA
"Kimble",2019,"Black",0
"Kimble",2019,"Other",0
"Kimble",2019,"White",0
"Kleberg",2019,"Hispanic",NA
"Kleberg",2019,"Black",NA
"Kleberg",2019,"Other",0
"Kleberg",2019,"White",0
"Lamar",2019,"Hispanic",0
"Lamar",2019,"Black",NA
"Lamar",2019,"Other",0
"Lamar",2019,"White",NA
"Lamb",2019,"Hispanic",0
"Lamb",2019,"Black",NA
"Lamb",2019,"Other",0
"Lamb",2019,"White",0
"Lampasas",2019,"Hispanic",0
"Lampasas",2019,"Black",0
"Lampasas",2019,"Other",0
"Lampasas",2019,"White",NA
"Lee",2019,"Hispanic",NA
"Lee",2019,"Black",0
"Lee",2019,"Other",0
"Lee",2019,"White",0
"Liberty",2019,"Hispanic",NA
"Liberty",2019,"Black",0
"Liberty",2019,"Other",0
"Liberty",2019,"White",NA
"Limestone",2019,"Hispanic",0
"Limestone",2019,"Black",NA
"Limestone",2019,"Other",NA
"Limestone",2019,"White",NA
"Lubbock",2019,"Hispanic",12
"Lubbock",2019,"Black",NA
"Lubbock",2019,"Other",NA
"Lubbock",2019,"White",NA
"Madison",2019,"Hispanic",NA
"Madison",2019,"Black",0
"Madison",2019,"Other",0
"Madison",2019,"White",0
"Matagorda",2019,"Hispanic",NA
"Matagorda",2019,"Black",0
"Matagorda",2019,"Other",0
"Matagorda",2019,"White",NA
"Maverick",2019,"Hispanic",NA
"Maverick",2019,"Black",0
"Maverick",2019,"Other",0
"Maverick",2019,"White",NA
"Mclennan",2019,"Hispanic",NA
"Mclennan",2019,"Black",NA
"Mclennan",2019,"Other",NA
"Mclennan",2019,"White",NA
"Medina",2019,"Hispanic",NA
"Medina",2019,"Black",0
"Medina",2019,"Other",0
"Medina",2019,"White",0
"Midland",2019,"Hispanic",NA
"Midland",2019,"Black",NA
"Midland",2019,"Other",0
"Midland",2019,"White",NA
"Milam",2019,"Hispanic",0
"Milam",2019,"Black",0
"Milam",2019,"Other",0
"Milam",2019,"White",NA
"Mitchell",2019,"Hispanic",NA
"Mitchell",2019,"Black",0
"Mitchell",2019,"Other",0
"Mitchell",2019,"White",0
"Montague",2019,"Hispanic",NA
"Montague",2019,"Black",0
"Montague",2019,"Other",0
"Montague",2019,"White",0
"Montgomery",2019,"Hispanic",12
"Montgomery",2019,"Black",NA
"Montgomery",2019,"Other",NA
"Montgomery",2019,"White",16
"Moore",2019,"Hispanic",NA
"Moore",2019,"Black",0
"Moore",2019,"Other",0
"Moore",2019,"White",0
"Nacogdoches",2019,"Hispanic",0
"Nacogdoches",2019,"Black",0
"Nacogdoches",2019,"Other",0
"Nacogdoches",2019,"White",NA
"Navarro",2019,"Hispanic",NA
"Navarro",2019,"Black",0
"Navarro",2019,"Other",0
"Navarro",2019,"White",NA
"Nueces",2019,"Hispanic",14
"Nueces",2019,"Black",NA
"Nueces",2019,"Other",0
"Nueces",2019,"White",NA
"Orange",2019,"Hispanic",0
"Orange",2019,"Black",NA
"Orange",2019,"Other",NA
"Orange",2019,"White",NA
"Palo Pinto",2019,"Hispanic",0
"Palo Pinto",2019,"Black",0
"Palo Pinto",2019,"Other",0
"Palo Pinto",2019,"White",NA
"Parker",2019,"Hispanic",NA
"Parker",2019,"Black",0
"Parker",2019,"Other",0
"Parker",2019,"White",NA
"Parmer",2019,"Hispanic",NA
"Parmer",2019,"Black",0
"Parmer",2019,"Other",0
"Parmer",2019,"White",0
"Polk",2019,"Hispanic",0
"Polk",2019,"Black",0
"Polk",2019,"Other",0
"Polk",2019,"White",NA
"Potter",2019,"Hispanic",NA
"Potter",2019,"Black",NA
"Potter",2019,"Other",0
"Potter",2019,"White",NA
"Randall",2019,"Hispanic",NA
"Randall",2019,"Black",NA
"Randall",2019,"Other",NA
"Randall",2019,"White",NA
"Reagan",2019,"Hispanic",NA
"Reagan",2019,"Black",0
"Reagan",2019,"Other",0
"Reagan",2019,"White",0
"Robertson",2019,"Hispanic",0
"Robertson",2019,"Black",NA
"Robertson",2019,"Other",0
"Robertson",2019,"White",NA
"Rockwall",2019,"Hispanic",0
"Rockwall",2019,"Black",0
"Rockwall",2019,"Other",NA
"Rockwall",2019,"White",NA
"Runnels",2019,"Hispanic",NA
"Runnels",2019,"Black",0
"Runnels",2019,"Other",0
"Runnels",2019,"White",NA
"Rusk",2019,"Hispanic",NA
"Rusk",2019,"Black",NA
"Rusk",2019,"Other",0
"Rusk",2019,"White",0
"San Augustine",2019,"Hispanic",0
"San Augustine",2019,"Black",NA
"San Augustine",2019,"Other",0
"San Augustine",2019,"White",0
"San Jacinto",2019,"Hispanic",0
"San Jacinto",2019,"Black",NA
"San Jacinto",2019,"Other",0
"San Jacinto",2019,"White",NA
"San Patricio",2019,"Hispanic",NA
"San Patricio",2019,"Black",0
"San Patricio",2019,"Other",0
"San Patricio",2019,"White",NA
"San Saba",2019,"Hispanic",0
"San Saba",2019,"Black",0
"San Saba",2019,"Other",0
"San Saba",2019,"White",NA
"Shelby",2019,"Hispanic",0
"Shelby",2019,"Black",0
"Shelby",2019,"Other",0
"Shelby",2019,"White",NA
"Smith",2019,"Hispanic",NA
"Smith",2019,"Black",NA
"Smith",2019,"Other",0
"Smith",2019,"White",NA
"Starr",2019,"Hispanic",NA
"Starr",2019,"Black",0
"Starr",2019,"Other",0
"Starr",2019,"White",0
"Swisher",2019,"Hispanic",NA
"Swisher",2019,"Black",0
"Swisher",2019,"Other",0
"Swisher",2019,"White",0
"Tarrant",2019,"Hispanic",46
"Tarrant",2019,"Black",50
"Tarrant",2019,"Other",NA
"Tarrant",2019,"White",46
"Taylor",2019,"Hispanic",NA
"Taylor",2019,"Black",NA
"Taylor",2019,"Other",0
"Taylor",2019,"White",NA
"Terry",2019,"Hispanic",NA
"Terry",2019,"Black",0
"Terry",2019,"Other",0
"Terry",2019,"White",NA
"Titus",2019,"Hispanic",NA
"Titus",2019,"Black",NA
"Titus",2019,"Other",0
"Titus",2019,"White",0
"Tom Green",2019,"Hispanic",NA
"Tom Green",2019,"Black",0
"Tom Green",2019,"Other",0
"Tom Green",2019,"White",NA
"Travis",2019,"Hispanic",33
"Travis",2019,"Black",11
"Travis",2019,"Other",NA
"Travis",2019,"White",23
"Tyler",2019,"Hispanic",0
"Tyler",2019,"Black",0
"Tyler",2019,"Other",0
"Tyler",2019,"White",NA
"Upshur",2019,"Hispanic",0
"Upshur",2019,"Black",0
"Upshur",2019,"Other",0
"Upshur",2019,"White",NA
"Upton",2019,"Hispanic",NA
"Upton",2019,"Black",0
"Upton",2019,"Other",0
"Upton",2019,"White",0
"Uvalde",2019,"Hispanic",NA
"Uvalde",2019,"Black",0
"Uvalde",2019,"Other",0
"Uvalde",2019,"White",NA
"Val Verde",2019,"Hispanic",NA
"Val Verde",2019,"Black",0
"Val Verde",2019,"Other",0
"Val Verde",2019,"White",NA
"Van Zandt",2019,"Hispanic",0
"Van Zandt",2019,"Black",0
"Van Zandt",2019,"Other",0
"Van Zandt",2019,"White",NA
"Victoria",2019,"Hispanic",NA
"Victoria",2019,"Black",NA
"Victoria",2019,"Other",NA
"Victoria",2019,"White",NA
"Walker",2019,"Hispanic",NA
"Walker",2019,"Black",NA
"Walker",2019,"Other",0
"Walker",2019,"White",NA
"Waller",2019,"Hispanic",NA
"Waller",2019,"Black",NA
"Waller",2019,"Other",0
"Waller",2019,"White",0
"Washington",2019,"Hispanic",NA
"Washington",2019,"Black",NA
"Washington",2019,"Other",0
"Washington",2019,"White",NA
"Webb",2019,"Hispanic",17
"Webb",2019,"Black",0
"Webb",2019,"Other",0
"Webb",2019,"White",0
"Wharton",2019,"Hispanic",NA
"Wharton",2019,"Black",0
"Wharton",2019,"Other",0
"Wharton",2019,"White",0
"Wheeler",2019,"Hispanic",NA
"Wheeler",2019,"Black",0
"Wheeler",2019,"Other",0
"Wheeler",2019,"White",0
"Wichita",2019,"Hispanic",NA
"Wichita",2019,"Black",NA
"Wichita",2019,"Other",0
"Wichita",2019,"White",NA
"Wilbarger",2019,"Hispanic",NA
"Wilbarger",2019,"Black",0
"Wilbarger",2019,"Other",0
"Wilbarger",2019,"White",NA
"Willacy",2019,"Hispanic",NA
"Willacy",2019,"Black",0
"Willacy",2019,"Other",0
"Willacy",2019,"White",0
"Williamson",2019,"Hispanic",NA
"Williamson",2019,"Black",NA
"Williamson",2019,"Other",NA
"Williamson",2019,"White",NA
"Wilson",2019,"Hispanic",0
"Wilson",2019,"Black",0
"Wilson",2019,"Other",0
"Wilson",2019,"White",NA
"Winkler",2019,"Hispanic",NA
"Winkler",2019,"Black",0
"Winkler",2019,"Other",0
"Winkler",2019,"White",0
"Wise",2019,"Hispanic",0
"Wise",2019,"Black",0
"Wise",2019,"Other",0
"Wise",2019,"White",NA
"Wood",2019,"Hispanic",NA
"Wood",2019,"Black",NA
"Wood",2019,"Other",0
"Wood",2019,"White",0
"Yoakum",2019,"Hispanic",NA
"Yoakum",2019,"Black",0
"Yoakum",2019,"Other",0
"Yoakum",2019,"White",0
"Zapata",2019,"Hispanic",NA
"Zapata",2019,"Black",0
"Zapata",2019,"Other",0
"Zapata",2019,"White",0
"Zavala",2019,"Hispanic",NA
"Zavala",2019,"Black",0
"Zavala",2019,"Other",0
"Zavala",2019,"White",0
"Andrews",2018,"Hispanic",NA
"Andrews",2018,"Black",0
"Andrews",2018,"Other",0
"Andrews",2018,"White",NA
"Angelina",2018,"Hispanic",NA
"Angelina",2018,"Black",NA
"Angelina",2018,"Other",0
"Angelina",2018,"White",NA
"Aransas",2018,"Hispanic",0
"Aransas",2018,"Black",0
"Aransas",2018,"Other",NA
"Aransas",2018,"White",0
"Atascosa",2018,"Hispanic",NA
"Atascosa",2018,"Black",0
"Atascosa",2018,"Other",0
"Atascosa",2018,"White",0
"Bandera",2018,"Hispanic",0
"Bandera",2018,"Black",0
"Bandera",2018,"Other",0
"Bandera",2018,"White",NA
"Bastrop",2018,"Hispanic",NA
"Bastrop",2018,"Black",NA
"Bastrop",2018,"Other",NA
"Bastrop",2018,"White",NA
"Bee",2018,"Hispanic",NA
"Bee",2018,"Black",0
"Bee",2018,"Other",0
"Bee",2018,"White",0
"Bell",2018,"Hispanic",NA
"Bell",2018,"Black",11
"Bell",2018,"Other",0
"Bell",2018,"White",NA
"Bexar",2018,"Hispanic",110
"Bexar",2018,"Black",35
"Bexar",2018,"Other",NA
"Bexar",2018,"White",34
"Blanco",2018,"Hispanic",0
"Blanco",2018,"Black",0
"Blanco",2018,"Other",0
"Blanco",2018,"White",NA
"Bosque",2018,"Hispanic",0
"Bosque",2018,"Black",0
"Bosque",2018,"Other",0
"Bosque",2018,"White",NA
"Bowie",2018,"Hispanic",0
"Bowie",2018,"Black",NA
"Bowie",2018,"Other",0
"Bowie",2018,"White",NA
"Brazoria",2018,"Hispanic",NA
"Brazoria",2018,"Black",NA
"Brazoria",2018,"Other",NA
"Brazoria",2018,"White",10
"Brazos",2018,"Hispanic",NA
"Brazos",2018,"Black",NA
"Brazos",2018,"Other",0
"Brazos",2018,"White",NA
"Brooks",2018,"Hispanic",NA
"Brooks",2018,"Black",0
"Brooks",2018,"Other",0
"Brooks",2018,"White",0
"Brown",2018,"Hispanic",0
"Brown",2018,"Black",0
"Brown",2018,"Other",0
"Brown",2018,"White",NA
"Caldwell",2018,"Hispanic",NA
"Caldwell",2018,"Black",0
"Caldwell",2018,"Other",0
"Caldwell",2018,"White",0
"Cameron",2018,"Hispanic",22
"Cameron",2018,"Black",0
"Cameron",2018,"Other",0
"Cameron",2018,"White",NA
"Cass",2018,"Hispanic",0
"Cass",2018,"Black",NA
"Cass",2018,"Other",0
"Cass",2018,"White",0
"Cherokee",2018,"Hispanic",NA
"Cherokee",2018,"Black",NA
"Cherokee",2018,"Other",0
"Cherokee",2018,"White",NA
"Childress",2018,"Hispanic",NA
"Childress",2018,"Black",0
"Childress",2018,"Other",0
"Childress",2018,"White",0
"Collin",2018,"Hispanic",11
"Collin",2018,"Black",NA
"Collin",2018,"Other",11
"Collin",2018,"White",14
"Collingsworth",2018,"Hispanic",0
"Collingsworth",2018,"Black",0
"Collingsworth",2018,"Other",0
"Collingsworth",2018,"White",NA
"Colorado",2018,"Hispanic",NA
"Colorado",2018,"Black",NA
"Colorado",2018,"Other",0
"Colorado",2018,"White",NA
"Comal",2018,"Hispanic",NA
"Comal",2018,"Black",0
"Comal",2018,"Other",0
"Comal",2018,"White",NA
"Comanche",2018,"Hispanic",0
"Comanche",2018,"Black",0
"Comanche",2018,"Other",0
"Comanche",2018,"White",NA
"Cooke",2018,"Hispanic",NA
"Cooke",2018,"Black",NA
"Cooke",2018,"Other",0
"Cooke",2018,"White",NA
"Coryell",2018,"Hispanic",NA
"Coryell",2018,"Black",NA
"Coryell",2018,"Other",0
"Coryell",2018,"White",NA
"Cottle",2018,"Hispanic",NA
"Cottle",2018,"Black",0
"Cottle",2018,"Other",0
"Cottle",2018,"White",0
"Crosby",2018,"Hispanic",NA
"Crosby",2018,"Black",0
"Crosby",2018,"Other",0
"Crosby",2018,"White",0
"Dallam",2018,"Hispanic",NA
"Dallam",2018,"Black",0
"Dallam",2018,"Other",0
"Dallam",2018,"White",NA
"Dallas",2018,"Hispanic",89
"Dallas",2018,"Black",98
"Dallas",2018,"Other",14
"Dallas",2018,"White",26
"Dawson",2018,"Hispanic",NA
"Dawson",2018,"Black",0
"Dawson",2018,"Other",0
"Dawson",2018,"White",NA
"Deaf Smith",2018,"Hispanic",NA
"Deaf Smith",2018,"Black",0
"Deaf Smith",2018,"Other",0
"Deaf Smith",2018,"White",NA
"Delta",2018,"Hispanic",0
"Delta",2018,"Black",0
"Delta",2018,"Other",0
"Delta",2018,"White",NA
"Denton",2018,"Hispanic",10
"Denton",2018,"Black",10
"Denton",2018,"Other",NA
"Denton",2018,"White",13
"Dewitt",2018,"Hispanic",NA
"Dewitt",2018,"Black",0
"Dewitt",2018,"Other",0
"Dewitt",2018,"White",0
"Dimmit",2018,"Hispanic",0
"Dimmit",2018,"Black",0
"Dimmit",2018,"Other",0
"Dimmit",2018,"White",NA
"Donley",2018,"Hispanic",0
"Donley",2018,"Black",0
"Donley",2018,"Other",0
"Donley",2018,"White",NA
"Duval",2018,"Hispanic",NA
"Duval",2018,"Black",0
"Duval",2018,"Other",0
"Duval",2018,"White",0
"Ector",2018,"Hispanic",12
"Ector",2018,"Black",NA
"Ector",2018,"Other",NA
"Ector",2018,"White",NA
"Edwards",2018,"Hispanic",NA
"Edwards",2018,"Black",0
"Edwards",2018,"Other",0
"Edwards",2018,"White",0
"El Paso",2018,"Hispanic",30
"El Paso",2018,"Black",NA
"El Paso",2018,"Other",0
"El Paso",2018,"White",NA
"Ellis",2018,"Hispanic",NA
"Ellis",2018,"Black",NA
"Ellis",2018,"Other",NA
"Ellis",2018,"White",NA
"Erath",2018,"Hispanic",0
"Erath",2018,"Black",0
"Erath",2018,"Other",0
"Erath",2018,"White",NA
"Falls",2018,"Hispanic",0
"Falls",2018,"Black",NA
"Falls",2018,"Other",0
"Falls",2018,"White",0
"Fannin",2018,"Hispanic",0
"Fannin",2018,"Black",0
"Fannin",2018,"Other",0
"Fannin",2018,"White",NA
"Floyd",2018,"Hispanic",NA
"Floyd",2018,"Black",0
"Floyd",2018,"Other",0
"Floyd",2018,"White",0
"Fort Bend",2018,"Hispanic",NA
"Fort Bend",2018,"Black",16
"Fort Bend",2018,"Other",NA
"Fort Bend",2018,"White",NA
"Franklin",2018,"Hispanic",0
"Franklin",2018,"Black",0
"Franklin",2018,"Other",0
"Franklin",2018,"White",NA
"Freestone",2018,"Hispanic",NA
"Freestone",2018,"Black",NA
"Freestone",2018,"Other",0
"Freestone",2018,"White",0
"Frio",2018,"Hispanic",NA
"Frio",2018,"Black",0
"Frio",2018,"Other",0
"Frio",2018,"White",0
"Galveston",2018,"Hispanic",NA
"Galveston",2018,"Black",NA
"Galveston",2018,"Other",NA
"Galveston",2018,"White",10
"Garza",2018,"Hispanic",0
"Garza",2018,"Black",0
"Garza",2018,"Other",NA
"Garza",2018,"White",0
"Gillespie",2018,"Hispanic",0
"Gillespie",2018,"Black",0
"Gillespie",2018,"Other",0
"Gillespie",2018,"White",NA
"Glasscock",2018,"Hispanic",0
"Glasscock",2018,"Black",0
"Glasscock",2018,"Other",0
"Glasscock",2018,"White",NA
"Goliad",2018,"Hispanic",0
"Goliad",2018,"Black",NA
"Goliad",2018,"Other",0
"Goliad",2018,"White",0
"Gonzales",2018,"Hispanic",0
"Gonzales",2018,"Black",0
