"County","TDSHS_DEATHS_SUICIDE","Year"
"Bowie",NA,2017
"Brazoria",27,2017
"Brazos",NA,2017
"Brewster",NA,2017
"Brown",NA,2017
"Burleson",NA,2017
"Burnet",NA,2017
"Caldwell",NA,2017
"Calhoun",NA,2017
"Callahan",NA,2017
"Cameron",16,2017
"Camp",NA,2017
"Carson",NA,2017
"Cass",NA,2017
"Castro",NA,2017
"Chambers",NA,2017
"Cherokee",NA,2017
"Childress",NA,2017
"Coleman",NA,2017
"Collin",70,2017
"Colorado",NA,2017
"Comal",24,2017
"Comanche",NA,2017
"Cooke",NA,2017
"Coryell",NA,2017
"Crane",NA,2017
"Culberson",NA,2017
"Dallam",NA,2017
"Dallas",160,2017
"Dawson",NA,2017
"Denton",74,2017
"DeWitt",NA,2017
"Duval",NA,2017
"Eastland",NA,2017
"Ector",NA,2017
"Edwards",NA,2017
"El Paso",39,2017
"Ellis",14,2017
"Erath",NA,2017
"Falls",NA,2017
"Fannin",NA,2017
"Fayette",NA,2017
"Fort Bend",48,2017
"Franklin",NA,2017
"Freestone",NA,2017
"Frio",NA,2017
"Galveston",39,2017
"Garza",NA,2017
"Gillespie",NA,2017
"Goliad",NA,2017
"Gonzales",NA,2017
"Gray",NA,2017
"Grayson",19,2017
"Gregg",12,2017
"Grimes",NA,2017
"Guadalupe",NA,2017
"Hale",NA,2017
"Hansford",NA,2017
"Hardin",NA,2017
"Harris",277,2017
"Harrison",NA,2017
"Haskell",NA,2017
"Hays",17,2017
"Hemphill",NA,2017
"Henderson",NA,2017
"Hidalgo",26,2017
"Hill",NA,2017
"Hockley",NA,2017
"Hood",NA,2017
"Hopkins",NA,2017
"Houston",NA,2017
"Howard",NA,2017
"Hunt",NA,2017
"Hutchinson",NA,2017
"Jack",NA,2017
"Jackson",NA,2017
"Jasper",NA,2017
"Jefferson",19,2017
"Jim Wells",NA,2017
"Johnson",16,2017
"Jones",NA,2017
"Kaufman",10,2017
"Kendall",NA,2017
"Kerr",NA,2017
"Lamar",NA,2017
"Lamb",NA,2017
"Lampasas",NA,2017
"Lavaca",NA,2017
"Lee",NA,2017
"Leon",NA,2017
"Liberty",NA,2017
"Limestone",NA,2017
"Live Oak",NA,2017
"Llano",NA,2017
"Lubbock",18,2017
"Marion",NA,2017
"Mason",NA,2017
"Matagorda",NA,2017
"Maverick",NA,2017
"McCulloch",NA,2017
"McLennan",18,2017
"Medina",NA,2017
"Midland",NA,2017
"Milam",NA,2017
"Mills",NA,2017
"Montague",NA,2017
"Montgomery",50,2017
"Moore",NA,2017
"Morris",NA,2017
"Nacogdoches",NA,2017
"Navarro",NA,2017
"Newton",NA,2017
"Nolan",NA,2017
"Nueces",32,2017
"Ochiltree",NA,2017
"Orange",10,2017
"Palo Pinto",NA,2017
"Panola",NA,2017
"Parker",10,2017
"Pecos",NA,2017
"Polk",NA,2017
"Potter",11,2017
"Rains",NA,2017
"Randall",18,2017
"Red River",NA,2017
"Refugio",NA,2017
"Robertson",NA,2017
"Rockwall",11,2017
"Runnels",NA,2017
"Rusk",NA,2017
"Sabine",NA,2017
"San Augustine",NA,2017
"San Jacinto",NA,2017
"San Patricio",NA,2017
"Scurry",NA,2017
"Shelby",NA,2017
"Smith",35,2017
"Somervell",NA,2017
"Starr",NA,2017
"Stephens",NA,2017
"Swisher",NA,2017
"Tarrant",144,2017
"Taylor",19,2017
"Titus",NA,2017
"Tom Green",17,2017
"Travis",80,2017
"Trinity",NA,2017
"Tyler",NA,2017
"Upshur",NA,2017
"Uvalde",NA,2017
"Val Verde",NA,2017
"Van Zandt",NA,2017
"Victoria",NA,2017
"Walker",NA,2017
"Waller",NA,2017
"Washington",NA,2017
"Webb",NA,2017
"Wharton",NA,2017
"Wheeler",NA,2017
"Wichita",15,2017
"Wilbarger",NA,2017
"Willacy",NA,2017
"Williamson",42,2017
"Wilson",NA,2017
"Winkler",NA,2017
"Wise",NA,2017
"Wood",12,2017
"Young",NA,2017
"Zavala",NA,2017
"Anderson",NA,2018
"Andrews",NA,2018
"Angelina",NA,2018
"Aransas",NA,2018
"Archer",NA,2018
"Atascosa",NA,2018
"Austin",NA,2018
"Bandera",NA,2018
"Bastrop",NA,2018
"Bee",NA,2018
"Bell",43,2018
"Bexar",149,2018
"Blanco",NA,2018
"Bowie",NA,2018
"Brazoria",29,2018
"Brazos",13,2018
"Brewster",NA,2018
"Briscoe",NA,2018
"Brown",NA,2018
"Burleson",NA,2018
"Burnet",NA,2018
"Caldwell",NA,2018
"Calhoun",NA,2018
"Callahan",NA,2018
"Cameron",17,2018
"Camp",NA,2018
"Carson",NA,2018
"Cass",NA,2018
"Castro",NA,2018
"Chambers",NA,2018
"Cherokee",NA,2018
"Childress",NA,2018
"Clay",NA,2018
"Cochran",NA,2018
"Collin",61,2018
"Collingsworth",NA,2018
"Colorado",NA,2018
