"County","State","FIPS.Code","Population","Economic.Region","Overall.Social.Vulnerability","Socioeconomic.Social.Vulnerability","Household.Characteristics.Social.Vulnerability","Race.Ethnicity.Social.Vulnerability","Housing.Transport.Social.Vulnerability","Median.Age","Percent.Age.0.to.17","Percent.Age.Over.65","Percent.Asian","Percent.Black","Percent.Hispanic","Percent.White","Percent.Households_Limited_English","Percent.Veteran","NCHS.Rural.Urban.Code","Percent.Households.No.Computer.Device","Percent.Households.Smartphone.Only","Percent.Households.No.Internet","Percent.Commute.Less.than.15min","Percent.Commute.15min.to.29min","Percent.Commute.30min.to.59min","Percent.Commute.60min.or.More","Percent.Housing.Units.No.Vehicle","GINI.Index","Percent.Unemployed","Median.Household.Income","Median.Household.Income.Asian","Median.Household.Income.Black","Median.Household.Income.Hispanic","Median.Household.Income.White","Percent.in.Poverty","Percent.in.Poverty.Asian","Percent.in.Poverty.Black","Percent.in.Poverty.Hispanic","Percent.in.Poverty.White","Percent.Households.Food.Stamps","Median.Home.Value","Median.Rent","Percent.Less.than.Highschool","Percent.Highschool.Graduate","Percent.with.Associate.Degree","Percent.with.Bachelor.Degree","Percent.with.Graduate.Degree","Percent.Medicaid","Percent.Medicare.Only","Percent.Health.Insurance.Other","Percent.No.Health.Insurance","Obesity.Rate","Diabetes.Rate","Binge.Drinking.Rate","Smoking.Rate","Depression.Rate","Anxiety.Disorders.Rate.Medicare","Bipolar.Disorder.Rate.Medicare","Depressive.Disorders.Rate.Medicare","Personality.Disorders.Rate.Medicare","Opioid.Overuse.Disorder.Rate.Medicare","Birth.Defects.per.10k","Deaths.from.Injury.per.100k","Deaths.from.Transport.Accident.per.100k","Deaths.from.Suicide.per.100k","Deaths.from.Assault.per.100k","Accidental.Deaths.by.Benzodiazepines.per.100k","Accidental.Deaths.by.Cannabis.per.100k","Accidental.Deaths.by.Cocaine.per.100k","Accidental.Deaths.by.Heroin.per.100k","Accidental.Deaths.by.Methadone.per.100k","Accidental.Deaths.by.Opioids.per.100k","Accidental.Deaths.by.Other.Narcotics.per.100k","Accidental.Deaths.by.Other.Opioids.per.100k","Accidental.Deaths.by.Psychostimulants.per.100k","Accidental.Deaths.by.Pyschotropics.per.100k","Accidental.Deaths.by.Synthetics.per.100k","Maternal.Deaths.per.100k","Opioid.Overdose.Deaths.per.100k","Drug.Poisoning.Deaths.per.100k","Opioid.Dispensing.Rate.per.100","HPSA.Primary.Care.Score","HPSA.Primary.Care.FTE.Short","HPSA.Mental.FTE.Short","HPSA.Mental.Score","PCPs.per.100k","Nurse.Practitioners.per.100k","Physician.Assistants.per.100k","Dentists.per.100k","LCDCs.per.100k","LPCs.per.100k","LCSWs.per.100k","Psychiatrists.per.100k","Mental.Health.Providers.per.100k","Urgent.Care.Orgs.per.100k","Health.Centers.per.100k","Community.Mental.Health.Centers.per.100k","Rural.Health.Clinics.per.100k","Home.Health.Agencies.per.100k","Hospices.per.100k","Nursing.Facilities.per.100k","Nursing.Facility.Beds.per.100k","Skilled.Nursing.Facilities.per.100k","Skilled.Nursing.Facility.Beds.per.100k","Mental.Health.Facilities.per.1k","Mental.Health.Facilities.Accepting.Medicare.per.1k","Percent.Clinicians.Accepting.Medicaid","Percent.Nursing.Homes.For.Profit","Percent.Nursing.Homes.Chain","Percent.Hospitals.Private.For.Profit","Percent.Hospitals.Non.Profit","Percent.Hospitals.Government","Nursing.Home.Occupancy.Rate","Median.Distance.to.Urgent.Care","Median.Distance.to.Emergency.Department","Median.Distance.to.Medical.Surgical.ICU","Median.Distance.to.Trauma.Center","Median.Distance.to.Pediatric.ICU","Median.Distance.to.Obstetrics.Department","Median.Distance.to.Health.Clinic","Median.Distance.to.Alcohol.Drug.Incare"
"Kendall","Texas","48259","45491","Alamo","0.0356","0.0395","0.1304","0.2609","0.0791","42.1","23.38","19.23","1.04","0.43","24.17","71.88","1.45","10.12","2","3.43","5.21","5.44","30.86","19.02","38.14","11.98","2.31","0.48","4.33","98692","","40875","93102","101333","4.85","0","3.15","5.52","4.82","3.86","378500","1278","5.95","19.2","29.59","28.7","16.56","8.09","4.62","8.71","10.36","33.4","11.3","17.6","12.9","20.3","14","2","15","1","1","796.92","46.02","13.59","14.46","","","","","0","0","","","","","","0","","","6.57","29.5","","","0.93","14","92.5","99","41","84.5","40.2","160.9","26.1","12.1","170.77","4","0","2","0","7","2","11","739","0","0","0","0","98.31","50","100","71.43","28.57","0","66.47","3.58","16.01","18.24","21.86","23.33","18.69","14.73","17.69"
"Kenedy","Texas","48261","391","South Texas","0.6719","0.664","0.913","0.9921","0.1028","41.2","30.95","28.13","0.26","0","96.68","3.07","51.94","0","5","41.86","27.13","49.61","44.67","36.67","18.67","0","0","0.29","0","40083","","","40917","","2.05","0","","1.59","16.67","20.93","","","78.15","14.44","5.93","0.37","1.11","42.2","9.21","0","27.37","34.9","14.7","15","5.2","14.9","35","0","26","0","0","","","","","","","","","","","","","","","","","","","","","7","0.16","0.03","11","-","0","0","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","","49.46","33.12","36.62","38.51","53.53","35.01","33.12","48.45"
"Kent","Texas","48263","704","Northwest","0.0791","0.0316","0.581","0.0158","0.2055","43.5","29.4","30.4","0","1.14","10.51","86.36","1.75","8.05","6","6.64","9.44","12.94","69.95","9.86","12.21","7.98","5.59","0.38","5","61706","","","","61905","12.37","","100","54.17","7.19","8.74","64700","819","6.49","25.73","34.94","18.41","14.44","4.58","8.85","3.36","3.97","32.7","12.6","16.3","13.6","19.9","15","0","18","0","0","","","","","","","","","","","","","","","","","","","","","13","0.07","0.03","11","-","0","0","-","-","-","125","-","0","0","0","0","284","0","0","142","8523","0","0","0","0","0","","","50","50","0","","72.87","21.61","48.53","24.01","74.75","42.33","2.96","74.42"
"Kerr","Texas","48265","52195","Alamo","0.4348","0.3202","0.4032","0.3281","0.6759","48","19.18","27.43","0.75","1.59","27.36","68.11","1.7","11.38","5","7.24","8.18","11.04","47.3","30.89","15.61","6.2","3.23","0.44","4.29","57196","70962","28116","48084","61858","12.52","14.6","47.63","18.69","8.9","8.71","193900","922","10.68","28.26","32.88","18.17","10.01","12.16","7.34","9.24","17.23","35.1","14.4","15.5","15.5","20.5","16","2","17","1","2","733.94","62.81","16.85","24.89","4.6","","","","","0","","","","","","","","9.57","16.85","39.4","","","1.91","16","100.3","104","13","49.2","106","149.5","43.5","34.1","307.98","0","0","2","0","4","2","8","991","2","54","0","0","98.87","100","100","63.16","36.84","0","64.19","23.14","2.35","3.15","23.03","50.65","2.98","22.74","11.27"
"Kimble","Texas","48267","4375","West Texas","0.336","0.5573","0.3083","0.253","0.2411","52","18.13","28.5","0","0.62","25.71","72.18","5.34","10.13","6","17.44","9.15","20.28","55.07","21.2","14.67","9.06","4.83","0.54","3.19","46602","","","33292","50268","18.87","","0","30.52","15.22","9.51","151700","684","16.27","30.65","28.35","15.28","9.45","15.32","6.83","7.8","19.65","37.1","17","14.3","18.5","21.6","12","2","13","0","2","","77.53","","","","","","","","","0","","","","0","0","","","","18.9","","","0.22","14","46.8","23","91","46.8","-","-","-","-","23.06","0","0","0","23","0","0","46","3040","0","0","0","0","75","","","25","50","25","","53.2","3.34","3.34","3.45","78.13","3.34","3.45","57.03"
"King","Texas","48269","279","High Plains","0.1265","0.8814","0.1028","0.1186","0.004","39.4","18.64","11.11","0","0","21.51","78.49","2.22","2.2","6","5.56","10","7.78","65.56","17.78","11.11","5.56","0","0.49","9.35","39286","","","38750","39375","36.2","","","23.33","39.73","5.56","22800","750","21.62","51.35","13.51","9.91","3.6","10.04","5.02","0","23.66","40.8","18.1","15.1","26.6","23.8","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","5","0.07","0.01","9","-","0","0","-","-","315.5","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","","87.69","25.3","31.75","32.09","87.38","25.3","25.3","89.56"
"Kinney","Texas","48271","3674","South Texas","0.6285","0.3439","0.7747","0.7866","0.5573","51","12.57","29.29","0","0","60.91","38.87","4.27","20.08","6","31.25","12.2","40.07","93.82","2.24","3.76","0.18","6.51","0.45","1.12","39972","","","53183","37297","16","","","19.93","10.4","22.44","82000","672","19.01","27.85","34.37","12.9","5.86","13.76","10.57","11.06","17.33","38.7","17.5","15.4","16.4","18.9","11","1","10","0","1","","70.5","","","","","","","","","","","","","","","","","","1.6","17","0.97","0.17","12","-","27","27","-","-","-","29","-","","0","27","0","0","27","0","0","0","0","0","0","0","0","","","50","50","0","","40.33","29.01","29.01","29.01","111.74","29.01","0.64","84.26"
"Kleberg","Texas","48273","30725","South Texas","0.8933","0.8577","0.5771","0.917","0.9526","28.4","24.39","13.4","2.28","3.23","73.03","20.01","5.81","9.4","5","11.28","17.35","18.11","53.54","22.91","17.36","6.19","7.68","0.48","6.03","47301","2499","","44022","74474","27.17","64.45","38.49","30.82","9.62","18.95","98500","898","20.94","27.77","26.98","17.15","7.15","20.35","5.89","7.04","15.45","37.6","13.5","17.6","14.6","19.9","20","3","16","0","3","525","40.66","17.43","8.39","","","","0","","","0","","0","","0","","","","7.1","23.6","","","1.49","18","55.1","40","13","38.9","45.4","74.5","9.7","3.2","48.89","0","0","0","16","13","0","3","508","0","0","0","0","83.82","100","100","77.78","22.22","0","74.17","28.85","2.56","2.56","2.56","33.83","2.56","1.15","32.39"
"Knox","Texas","48275","3679","Northwest","0.3953","0.3715","0.8854","0.5257","0.0909","41.6","25.5","18.48","1.22","5.33","34.87","57.52","10.33","6.64","6","14.99","7.82","17.29","60.03","23.09","8.64","8.25","2.22","0.41","4.5","50719","","","42456","58409","11.76","0","29.74","18.1","7.81","11.12","43300","560","19.33","30.63","31.19","11.66","7.19","17.76","3.57","6.95","16.46","36.9","15.2","16","18.5","21.4","18","4","19","1","2","0","64.81","","","","","","","","","","","","","","","","","","26.4","15","1.02","0.18","12","25.1","163","0","-","-","-","25.1","-","","0","0","0","109","82","0","54","3452","0","0","0","0","100","","","18.18","63.64","18.18","","68.01","7.51","7","7.51","68.5","7","1.61","72.34"
"La Salle","Texas","48283","7551","South Texas","0.5257","0.5929","0.7431","0.2253","0.4229","36.3","20.83","15.76","0.29","1.66","84.7","12.69","15.45","7.33","6","17.46","16.29","33.38","67.32","9","13.22","10.47","3.73","0.45","2.83","47162","","","47363","","18.46","","","20.75","2.72","13.17","84000","680","35.33","44.4","13.53","5.94","0.8","14.36","8.8","2.62","23.25","39.1","13.9","19.1","16.4","18.6","15","2","10","1","0","769.23","39.74","","","","","","0","0","","0","","","","","","","","","8","18","0.65","","","23.1","93","40","23.1","-","11.6","-","-","53.19","0","13","0","26","0","0","13","795","0","0","0","0","20","0","0","33.33","33.33","33.33","98.33","61.98","21.78","52.07","36.53","86.47","23.69","5.2","23.69"
"Lamar","Texas","48277","49705","Upper East","0.8024","0.7708","0.9526","0.7866","0.3281","40.7","23.81","19.33","0.77","12.9","8.06","73.47","1.23","7.82","5","13.84","16.72","24.22","45.92","35.64","12.13","6.32","7.22","0.46","3.86","48036","","31304","48513","51566","18.38","0","28.18","21.11","16.63","13.72","108500","729","13.93","33.48","33.85","12.8","5.94","17.24","8.06","7.58","16.89","38.6","13.9","16.5","20.4","23.4","22","4","20","1","1","369.18","65.09","26.12","19.29","4.02","0","0","","0","0","0","0","0","","","0","","","16.07","68.2","","","","","72.1","118","22","38","10","58","20","6","104.29","2","0","0","16","34","6","26","1875","4","84","2","2","97.22","100","75","52.83","43.4","3.77","57.55","4.04","3.61","3.61","3.61","3.61","3.61","1.04","49.01"
"Lamb","Texas","48279","13018","High Plains","0.2964","0.3636","0.3241","0.2569","0.3992","36.4","27.68","16.85","0.73","3.27","55.86","38.94","4.16","5.34","6","18.23","17.57","26.65","57.15","19.29","19.35","4.22","5.95","0.43","4.17","44935","93235","24740","42912","53023","19.38","12.63","22.86","22.61","15.24","12.22","67900","715","24.19","35.06","28.19","9.8","2.76","16.45","4.87","3.7","23.68","40","16.8","15.7","19.8","21.6","13","1","14","1","2","481.93","65.9","32.19","","","0","","","","","","","","0","0","","","","","14.5","","","0.64","18","31.9","39","24","15.9","15.9","63.7","-","-","23.27","0","0","0","69","0","8","46","1851","8","46","0","0","100","50","50","72.73","18.18","9.09","75.92","46.74","4.26","24.8","11.7","43.73","4.26","1.03","42.12"
"Lampasas","Texas","48281","21152","Central Texas","0.8419","0.7312","0.5968","0.9407","0.8972","43.4","21.04","20.05","1.14","4.1","19.67","72.08","0.6","21.59","3","9.17","8.86","15.08","36.56","26.88","24.84","11.72","5.42","0.41","7.13","64808","","140212","48506","66537","10.92","4.2","3.6","10.93","10.36","9.77","166500","782","10.15","29.28","42.15","12.35","6.07","11.78","3.33","17.34","13.94","34.9","13.5","16.8","17.9","21.7","15","2","15","1","2","426.54","48.01","23.53","18.83","","","","","","","","","","","","","","","11.3","15.9","8","1.19","","","51.6","32","5","18.8","42.2","65.6","4.7","-","60.67","0","0","0","9","5","0","9","756","0","0","0","0","92.06","100","100","75","25","0","100","33.33","5.77","20.39","5.83","46.88","5.83","6.94","21.3"
"Lavaca","Texas","48285","20072","Alamo","0.17","0.0435","0.2688","0.2372","0.5771","43.6","23.62","23.32","0.45","6.05","19.19","73.26","2.43","7.96","6","18.84","12.72","20.48","40.74","25.26","21.09","12.9","4.97","0.45","3.32","54211","","38810","48313","57738","9.03","16.67","24.39","16.56","6.01","8.43","171000","776","13.81","40.7","27.63","13.29","4.57","10.19","6.69","4.7","9.44","35.6","14.1","16.3","18.3","21.7","18","3","18","1","2","570.18","49.83","27.9","12.95","","","","","0","","0","","","","","","","","","12.4","","","","","47.2","30","40","18.9","9.4","28.3","9.4","-","14.89","0","0","0","30","10","0","30","2516","0","0","0","0","96.36","50","50","25","62.5","12.5","66.36","40.8","2.72","11.37","4.31","75.58","11.37","1.42","35.85"
"Lee","Texas","48287","17174","Capital","0.415","0.3043","0.3874","0.4071","0.6087","41.7","21.95","18.93","1.25","11.34","23.82","63.07","5.62","6.74","6","13.14","14.56","17.68","37.87","19.97","22.9","19.26","2.91","0.42","2.49","56696","","31979","40250","63455","11.5","0","27.6","19.04","6.23","10.49","162800","897","17","36.59","32.44","9.44","4.54","11.11","5.37","4.57","15.25","37.6","14.5","16.6","20.2","22.2","15","3","16","1","1","315.79","73.24","36.04","19.76","","","","","0","","0","","","","","0","","","","11","14","3.21","0.7","12","33.7","23","17","28.1","16.9","45","-","-","63.81","6","0","0","29","6","0","17","1328","0","0","0","0","86.21","0","50","58.33","25","16.67","76.47","5.51","5.52","22.87","17.05","46.89","5.52","1.52","21"
"Leon","Texas","48289","17325","Central Texas","0.4269","0.6759","0.6996","0.17","0.1423","44.7","22.59","24.59","0.84","6.77","14.72","75.87","3.06","9.38","6","12.77","16.67","22.52","34.65","20.02","32.31","13.02","3.03","0.49","5.86","43392","170179","24455","35256","50588","17.73","0","40","36.79","11.7","8.61","120300","772","18.09","39.04","27.88","11.27","3.73","14.19","7.05","5.2","19.06","37.9","16.4","15.3","21.3","22.8","15","3","16","1","2","422.54","86.5","43.82","25.37","","","","0","0","0","","","","","","","","","17.3","7.8","15","4.89","0.86","18","11.2","34","11","5.6","11.2","22.3","-","-","17.24","0","0","0","23","0","0","17","843","0","0","0","0","87.5","0","100","75","25","0","48.65","34.83","13.65","29.4","25.39","70.28","13.65","8.43","41.28"
"Liberty","Texas","48291","86173","Gulf Coast","0.913","0.9486","0.6087","0.4387","0.9842","35","26.57","12.97","0.46","9.48","26.75","61.49","4.71","8.21","2","11.23","16.64","16.07","21.58","16.17","35.7","26.56","5.58","0.45","7.54","50917","74479","48315","44459","54946","14.76","24.24","17.34","19.61","11.95","16.59","115300","857","21.76","39.05","29.31","7.12","2.76","16.04","7.14","3.38","23.38","40","13.1","18.5","22.5","23.4","18","4","17","2","3","599.82","71.62","34.77","19.24","8.11","","","","","0","13.9254754969654","0","","","","","","6.26","15.53","28.8","11","13","","","32.1","34","8","24","11.4","20.6","4.6","1.1","19.27","2","0","0","10","12","1","6","364","0","0","2.18","2.18","96.03","33.33","33.33","41.18","50","8.82","57.75","8.1","7.94","21.77","22.68","30.97","22.12","4.54","17.73"
"Limestone","Texas","48293","23364","Central Texas","0.8142","0.8142","0.7391","0.5296","0.8458","40.3","22.41","19.21","0.87","17.48","22.13","57.42","3.82","9.6","6","18.01","16.14","29.44","37.64","32.68","23.16","6.52","4.14","0.45","5.93","45781","52829","26217","45250","51590","19.27","22.22","26.43","22.4","16.36","14.25","115400","678","16.81","35.26","31.26","11.72","4.96","19.72","6","7.54","18.87","39.3","15.5","16.2","20.6","21.8","20","5","19","1","2","722.02","54.57","21.31","19.61","","","0","","","","","0","0","","","0","","","10.23","25.9","","","1.13","15","67.9","56","21","29.7","12.7","42.4","8.5","4.2","46.93","0","0","0","4","9","0","26","1579","0","0","4.28","4.28","100","75","75","75","15","10","64.58","40.77","1.25","6.02","1.25","65.42","21.79","9.21","17.71"
"Lipscomb","Texas","48295","3301","High Plains","0.4111","0.3281","0.9723","0.3953","0.0751","36.6","28.63","16.48","0.97","1.73","30.42","63.28","3.8","7.56","6","6.91","13.99","10.88","49.32","27.03","13.35","10.3","3.28","0.43","5.61","63182","","","52390","66927","11.35","25","0","18.89","8.01","8.81","106700","761","17.43","29.84","29.12","17.77","5.84","9.84","3.19","3.68","19.16","35.9","12.9","17.4","17","21.1","10","2","10","0","1","0","","","","","","","","","","","","","0","0","","","","","0.1","14","0.95","0.17","12","-","64","0","26.8","-","-","-","-","","0","0","0","61","0","0","30","1060","0","0","0","0","0","0","0","0","66.67","33.33","100","49.64","15.81","27.95","15.81","115.53","27.95","8.21","46.87"
"Live Oak","Texas","48297","12175","South Texas","0.6126","0.498","0.6957","0.5494","0.5494","42.7","20.01","20.78","1.42","2.05","40.23","56.29","4.75","7.28","6","20.24","17.02","33.21","40.65","19.82","24.49","15.03","3.81","0.47","2.95","50212","","","29670","58438","21.07","14.55","66.67","33.99","13.57","12.43","106200","782","22.37","35.67","30.87","7.03","4.06","18.03","11.71","3.91","17.71","38.9","16.6","16.2","21.3","21.3","15","3","15","1","2","962.96","54.16","16.41","19.7","","","","","","","0","","","0","0","0","","","","5.3","15","1.25","0.53","15","-","24","8","8.2","16.5","16.5","-","-","8.19","0","0","0","41","0","0","8","501","0","0","0","0","100","100","100","100","0","0","83","40.92","23.79","23.79","23.79","58.84","23.79","2.44","56.93"
"Llano","Texas","48299","21452","Capital","0.3043","0.5652","0.3004","0.0277","0.2885","57.7","14.9","37.18","0.1","0.57","10.74","85.69","0.75","13.98","6","9.27","8.5","13.97","30.67","28.93","25.65","14.75","4.1","0.53","6.53","58941","","","37922","59755","7.61","36.36","0","14.24","6.72","7.33","235700","863","13.52","26.81","33.77","18.48","7.41","9.09","9.76","11.39","16.74","34.3","15.9","13.7","16.1","21","17","3","17","1","3","875","96.29","28.04","28.04","","","","0","0","","0","","0","","","0","","","18.7","20.8","","","1.04","15","71.8","9","18","30.8","15.4","41","10.3","-","55.06","0","0","0","9","0","0","19","1454","0","0","0","0","97.78","100","100","100","0","0","57.42","15.95","8.98","12.56","10.98","49.28","17.61","2.19","46.03"
"Loving","Texas","48301","117","West Texas","0.0435","0","0.419","0","0.4466","62.2","22.22","45.3","0","0","0","100","0","3.3","6","0","0","3.23","95","0","0","5","0","0.38","0","44076","","","","44076","0","","","","0","3.23","","","3.41","14.77","81.82","0","0","0","0","35.04","11.11","34.7","9","23.2","15.7","22.1","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","6","0.03","0","12","-","0","0","-","-","-","1,075.30","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","","58.5","26.63","26.63","26.63","59.58","26.63","26.54","59.58"
"Lubbock","Texas","48303","308392","High Plains","0.3992","0.4545","0.0474","0.6245","0.6008","30.9","23.84","12.43","2.28","7.22","35.81","52.9","2.8","5.88","3","6.78","11.39","12.93","46.14","42.78","8.1","2.98","5.55","0.48","4.32","53425","62845","34548","43143","63043","18.52","26.27","26.8","23.87","13.88","11.78","149200","946","12.83","25.1","30.06","19.99","12.01","13.43","4.64","5.49","13.32","32.8","11.2","18.7","15.8","21.7","18","2","18","1","2","707.88","57.17","16.68","16.94","6.16","0","0","","","0","3.89115152144024","0","","","3.56688889465356","","","6.49","15.96","85.7","","","","","83.9","145","36","47.2","33.7","124","23.6","5.8","159.06","1","4","0","2","8","3","7","511","1","26","0.95","0.64","97.97","72.73","54.55","64.02","32.32","3.66","68.17","2.68","1.68","1.79","3.23","3.59","1.89","1.79","4.07"
"Lynn","Texas","48305","5886","High Plains","0.6047","0.6443","0.8103","0.6601","0.1976","38.5","26.74","16.8","0.53","0.92","46.6","49.93","4.77","6.02","3","16.37","13.96","19.37","42.71","26.11","28.24","2.94","6.68","0.48","3.72","46163","","16125","26716","55878","16.04","8","28","24.13","8.67","15.78","89900","825","21.26","29.48","28.51","15","5.75","14.71","6.86","6.43","14.06","39","15.8","16.4","19.6","21.6","18","1","18","0","2","789.47","50.98","33.99","","","","","0","0","","0","","0","0","0","0","","","","11.9","","","0.29","14","90.4","66","0","-","-","90.4","-","-","","0","0","0","0","0","0","17","731","0","0","0","0","100","","","0","33.33","66.67","","25.29","11.07","26.07","11.07","28.67","11.07","20.01","29.16"
"Madison","Texas","48313","14329","Central Texas","0.4822","0.6522","0.5059","0.4743","0.2609","35.9","21.48","15.46","4.02","13.71","23.6","54.46","3.09","8.55","6","15.17","12.79","20.76","38.79","24.91","27.72","8.58","6.42","0.42","5.72","60499","109147","","60020","61778","10.63","0","20.37","11.98","8.78","13.08","113200","789","18.81","38.87","28.49","9.54","4.28","14.51","6.73","5.55","15.21","37.2","11.9","19.1","19.5","20.5","19","4","20","1","1","434.78","63.08","36.44","","","0","","","","","0","","0","","","","","","","23.2","","","","","47.4","14","21","20.3","13.6","20.3","-","-","21","0","0","0","14","7","0","35","2854","0","0","0","0","100","100","100","90","0","10","45.79","33.98","6.27","26.45","6.27","63.27","6.27","5.14","31.95"
"Marion","Texas","48315","9987","Upper East","0.6601","0.6364","0.6087","0.581","0.6522","50.8","18.15","26.22","0.28","22.62","4.35","70.81","2.34","11.13","6","19.76","24.92","28.29","19.23","32.03","38.1","10.65","5.64","0.49","10.91","39093","","27540","33077","45609","18.49","0","28.69","8.25","16.2","23.68","98200","726","13.89","39.78","29.65","13.2","3.48","17.08","9.23","6.3","10.01","39.3","17.1","14.5","20.9","22","19","5","20","1","2","","70.07","34.03","22.02","","","","0","","","","","0","0","","","","","30.03","9.8","16","2.83","","","19.6","40","0","9.8","9.8","49","-","-","10.15","0","0","0","20","20","0","20","1582","0","0","0","0","100","","","50","50","0","","27.82","8.43","17.28","17.28","23.34","16.9","8.45","25.05"
"Martin","Texas","48317","5676","West Texas","0.6087","0.4704","0.8538","0.8221","0.2213","32.8","31.84","10.91","0.05","0.49","47.78","51.29","7.84","3.33","4","11.85","6.85","20.62","53.21","24.07","22.14","0.58","0","0.45","4.04","70000","","","56875","85544","10.23","0","0","16.8","4.23","8.59","145700","760","21.1","34.16","25.35","11.48","7.91","14.22","5.23","4.43","8.21","36.6","12","18.6","17.7","21.5","11","2","14","1","2","864.2","48.8","","","","","","0","0","","","","","","","0","","","","24.5","","","0.28","13","47.3","34","0","15.8","-","-","-","-","","0","0","0","18","0","18","18","1145","0","0","0","0","100","","","40","20","40","","21.26","5.89","20.61","20.61","91.38","5.89","6.17","20.13"
"Mason","Texas","48319","4248","West Texas","0.6798","0.3083","0.2569","0.6126","0.9921","45.2","23.92","26.67","1.37","0.02","20.5","76.58","5.88","8.51","6","13.97","5.52","17.63","49.54","13.86","30.25","6.35","4.74","0.46","5.26","61434","","","","64551","6.11","0","","11.65","4.34","6.95","219900","741","14.54","18.56","31.85","24.29","10.76","1.86","8.82","4.93","14.46","33.1","14","15.3","14","20","11","2","13","0","1","","61.23","","","","","","","","","","","","","","","","","","2.5","12","0.54","0.21","12","25.6","46","23","25.6","25.6","51.2","25.6","-","46.79","0","0","0","71","24","0","47","2189","0","0","0","0","80","","","40","60","0","","39.18","1.18","37.7","26.1","87.06","37.7","2.35","58.59"
"Matagorda","Texas","48321","36791","Gulf Coast","0.3755","0.5296","0.3992","0.2885","0.2925","37.8","25.91","16.6","1.91","10.44","43.08","43.07","6.01","9.57","5","13.91","16.24","26.5","42.15","28.64","21.98","7.22","6.34","0.46","6.42","48733","28229","27446","43243","66336","17.92","18.36","37.39","21.2","9.57","15.19","128100","851","17.92","29.88","32.66","12.91","6.61","16.99","6.94","5.97","17.39","40","15.7","15.9","18.7","21.1","16","3","16","1","2","396.4","67.95","28.81","11.96","10.33","","","0","","0","","0","","","","","","","13.59","30","","","","","54","65","14","29.7","2.7","37.8","5.4","-","43.66","0","3","0","11","8","0","14","875","0","0","8.17","2.72","96.38","100","100","65","20","15","54.29","27.27","6.59","6.62","6.62","60.73","6.62","5.06","48.47"
"Maverick","Texas","48323","58098","South Texas","0.1542","0.0988","0.2806","0.6443","0.1818","29.8","31.24","11.79","0.05","0.64","95.19","2.52","24.94","1.28","5","19.69","19.6","33.1","40.76","37.39","11.45","10.4","6.66","0.46","7.69","41385","","","40754","85090","26.18","0","0","26.39","32.9","26.59","100900","678","38.53","24.01","21.8","12.02","3.64","25.77","5.04","1.9","29.22","44.5","18","18.3","16.3","18.9","16","3","14","1","1","372.44","30.53","14.41","4.8","3.77","","0","0","","","","","","","","","","","4.8","9.5","","","","","41","26","22","11.5","6.6","16.4","-","1.6","32.36","0","9","2","12","9","5","3","344","0","0","1.71","1.71","98.92","100","100","59.09","40.91","0","69.17","57.09","2.46","2.46","2.46","127.35","2.46","1.18","77.42"
"McCulloch","Texas","48307","7970","West Texas","0.1028","0.1818","0.7589","0.1502","0.0119","45.6","22.02","22.8","0.88","1.05","32.7","60.11","4.03","8.77","6","9.97","10.85","14.63","63.81","19.21","11.62","5.35","5.93","0.43","4.92","48618","","","40347","49281","15.23","47.14","1.89","17.36","13.94","13.74","96300","708","19.64","31.35","31.35","11.15","6.52","16.79","6.27","6.6","19.05","37.4","15.5","15.7","18.7","22","15","3","14","1","1","","72.64","30.06","25.05","","","","","","","","","","","","","","","","17.6","","","","","","0","51","","","","","","37.58","0","0","0","38","50","0","38","2760","0","0","0","0","100","","","45.45","36.36","18.18","","36.57","1.06","42.97","1.06","68.79","42.97","0.88","67.19"
"McLennan","Texas","48309","254045","Central Texas","0.7708","0.8261","0.7312","0.7352","0.5375","33.6","24.59","14.43","1.67","14.38","26.54","55.43","6.21","7.11","3","9.7","13.85","14.8","33.84","47.85","14.58","3.73","6.03","0.48","4.57","50210","47250","29268","40653","64116","18.5","24.47","34.2","22.94","12.11","12.18","152700","886","14.58","27.66","32.74","15.87","9.16","14.87","4.49","5.67","14.29","33.9","12.6","17.8","17.7","22.6","18","4","20","1","1","761.63","51.02","14.64","15.04","5.12","","","","","","","","","","","","1.02","3.62","12.44","48.9","","","","","","75","29","","","","","","161.33","0","1","0","0","5","2","12","803","0","0","3.08","2.7","99.09","75","87.5","64.58","32.29","3.13","73.64","4.42","4.65","4.75","5.34","35.03","4.65","3.58","4.79"
"McMullen","Texas","48311","724","South Texas","0.9723","0.9921","0.9091","0.996","0.7668","36.1","29.7","13.26","0","0","64.92","35.08","0","3.73","6","7.42","20.96","20.52","42.5","17.92","22.5","17.08","2.62","0.48","5.18","67386","","","58750","119375","10.5","","","12.55","6.69","10.04","111300","929","11.09","45.65","28.48","10.22","4.57","17.4","2.76","1.1","24.86","38.3","17.8","14.8","17.4","19.3","21","0","15","0","0","","","","","","","","","","","","","","","","","","","","","7","0.22","","","","0","139","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","","36.51","34.02","34.02","47.91","68.36","34.02","20.77","45.21"
