"County.Name","2013","2014","2015","2016","2017"
"San Patricio",688.59,515.76,528.89,648.6,730.16
"San Saba",NA,NA,NA,NA,NA
"Schleicher",NA,NA,NA,0,NA
"Scurry",578.51,727.97,521.74,639.1,483.09
"Shackelford",NA,NA,NA,0,0
"Shelby",473.68,400,384.62,331.63,591.72
"Sherman",NA,NA,NA,NA,NA
"Smith",670.55,644.85,592.21,708.16,620.08
"Somervell",NA,NA,NA,NA,NA
"Starr",497.8,593.34,763.83,735.06,639.87
"Stephens",NA,625,593.22,864.2,679.61
"Sterling",NA,NA,NA,NA,NA
"Stonewall",NA,NA,NA,NA,NA
"Sutton",NA,NA,NA,NA,NA
"Swisher",NA,NA,NA,NA,NA
"Tarrant",747.88,703.16,701.58,709.12,634.06
"Taylor",360.36,466.98,481.64,624.69,434.99
"Terrell",NA,NA,NA,NA,NA
"Terry",731.71,714.29,529.1,855.61,729.17
"Throckmorton",NA,NA,NA,NA,NA
"Titus",404.86,500,540,633.66,505.84
"Tom Green",397.95,504.2,488.09,618.16,722.58
"Travis",455.99,490.53,497.79,548.98,597.22
"Trinity",NA,445.86,397.35,714.29,NA
"Tyler",NA,280.37,375.59,398.01,515.46
"Upshur",676.23,611,602.68,434.78,506.33
"Upton",NA,NA,NA,NA,NA
"Uvalde",380.05,391.2,794.39,629.92,531.65
"Val Verde",486.98,577.37,421.29,563.7,366.49
"Van Zandt",713.07,792.25,774.3,586.37,706.44
"Victoria",613.31,466,535.98,511.01,558.33
"Walker",445.15,415.43,359.82,548.59,558.29
"Waller",538.72,480.48,541.46,573.64,479.76
"Ward",876.29,427.81,710.66,722.89,NA
"Washington",379.75,602.41,423.94,476.19,391.64
"Webb",351.16,418.87,414.64,552.55,523.4
"Wharton",433.15,417.42,436.97,633.8,400
"Wheeler",NA,NA,NA,NA,NA
"Wichita",345.8,330.58,460.03,356.27,400.99
"Wilbarger",NA,NA,395.48,457.52,748.3
"Willacy",350.32,273.04,412.37,582.19,411.99
"Williamson",516.47,514.89,499.84,514.43,573.12
"Wilson",578.03,719.84,730.84,559.7,587.12
"Winkler",839.69,NA,NA,754.72,NA
"Wise",570.34,518.13,622.01,648.65,431.94
"Wood",592.59,456.73,673.08,740.74,687.96
"Yoakum",NA,NA,432.1,502.79,425.53
"Young",535.71,391.3,418.6,533.33,386.47
"Zapata",328.47,292.21,444.44,534.35,711.3
"Zavala",343.14,558.38,512.82,607.73,457.52
