"fips","Name","pov_perc_all","pov_perc_under_18","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013","opioid_per_100","alc_est_per_capita","vet_percent_2020","percent_uninsured","Temp_MH_Services_NewApp_2020","Ext_MH_Services_NewApp_2020","Modification_NewApp_2020","Auth_Meds_NewApp_2020","Temp_MH_Services_Hearing_2020","Ext_MH_Services_Hearing_2020","Modification_Hearing_2020","Auth_Meds_Hearing_2020","Temp_MH_Services_NewApp_2020_per100k","Ext_MH_Services_NewApp_2020_per100k","Modification_NewApp_2020_per100k","Auth_Meds_NewApp_2020_per100k","Temp_MH_Services_Hearing_2020_per100k","Ext_MH_Services_Hearing_2020_per100k","Modification_Hearing_2020_per100k","Auth_Meds_Hearing_2020_per100k","X2020.Psychiatrist.Total","Ratio.of.Psychiatrists.to.100.000.Population","Total.Traffic.Fatalities","Total.Traffic.Fatalities.BAC.gt.08","Percent.Traffic.Fatalities.BAC.gt.08","Traffic_Fatalities_per_100k","I_35","percent_comp","County Code","Name.y","UNC2020_Count_Papers","desert","ACS5Y2020_Hispanic_Percent","ACS5Y2020_Poverty_Percent","ACS5Y2020_GINI_Index","ACS5Y2020_Highschool_Percent","ACS5Y2020_GED_Percent","ACS5Y2020_Bachelors_Percent","ACS5Y2020_Masters_Percent","ACS5Y2020_Professional_Percent","ACS5Y2020_Doctorate_Percent","ACS5Y2020_SNAP_Percent","ACS5Y2020_Unemployment_Percent","ACS5Y2020_Median Household Income","Zero_Papers","One_Or_Fewer_Papers"
48027,"Bell",14.7,21.4,2.4743,0.1624,19.3586,3.7321,2.73,355642,797,257,4.1,353629,97,27.4,"204",57.7,"355",100.4,70,19.8,"206",58.3,"304",86,"Metropolitan Statistical Area","Central",28660,"Killeen-Temple, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,53.8,8.90335008781941,15.0299341421892,15.4006317257881,1166,0,0,141,1054,0,0,120,329.724089370498,0,0,39.8722955413725,298.052478727706,0,0,33.9338685458489,40,11.3,54,16,29,15.270240845632,"Non I-35 Corridor",0.983333333333333,"027","Bell","5",FALSE,0.253373629463031,0.142063522135398,0.4406,0.209635140249024,0.0477372788274277,0.166808192499746,0.0632758923049943,0.0148786723646198,0.00836233074587191,0.136607632786468,0.0745995539657024,54987,FALSE,FALSE
48029,"Bexar",15,20.5,1.7822,0.2527,16.3502,3.1242,2.6771,1986049,3867,3657,3.6,2093502,508,24.3,"730",34.9,"1,948",93,181,8.6,"1,071",51.2,"1,714",81.9,"Metropolitan Statistical Area","Central",41700,"San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Central",1,"TX",1,1,44.1,12.7903712890504,7.97288043142868,17.4580678343773,2101,22,7,228,4331,1,0,112,100.358155855595,1.0508707419434,0.334367963345629,10.8908422346862,206.878235607131,0.0477668519065184,0,5.34988741353006,223,10.7,257,83,32,12.2760809399752,"I-35 Corridor",0.983333333333333,"029","Bexar","3",FALSE,0.604964761934602,0.15599055796154,0.4692,0.20349574844598,0.0476605624163727,0.17948039449633,0.0749576104667692,0.0191199830520621,0.0111421665796431,0.132532064459376,0.0574184273187308,58288,FALSE,FALSE
48031,"Blanco",9.8,14.6,2.0659,NA,14.0679,2.607,1.033,11702,24,11,2.5,11504,3,26.1,"2",17.4,"6",52.2,1,8.7,"3",26.1,"4",34.8,NA,NA,NA,NA,NA,8,"TX",6,4,7,26.3759451380341,8.95902936521892,21.7678442597389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,7,60.8484005563282,"I-35 Corridor",0.883333333333333,"031","Blanco","2",FALSE,0.197477201056848,0.112025645468723,0.4961,0.228949433793026,0.0463056396457002,0.193295212467765,0.0578540195089136,0.0214149568337258,0.00896961542773854,0.0664523043944266,0.0491640456878,70397,FALSE,FALSE
48033,"Borden",7.5,8.5,NA,0,NA,0,NA,648,1.61,0.45,2,685,0,0,"0",0,"0",0,0,0,"0",0,"0",0,NA,NA,NA,NA,NA,8,"TX",6,7,NA,NA,8.71632329635499,24.1987973451614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,18,729.92700729927,"Non I-35 Corridor",0.816666666666667,"033","Borden","1",TRUE,0.130168453292496,0.0367534456355283,0.3815,0.179723502304147,0.0299539170506912,0.361751152073733,0.0898617511520737,0,0,0.0448430493273543,0.0546218487394958,83281,FALSE,TRUE
48035,"Bosque",12.5,19.2,2.0747,NA,19.3983,2.2476,3.2503,18691,29,21,3.3,17765,5,28.1,"1",5.6,"7",39.4,4,22.5,"4",22.5,"12",67.5,NA,NA,NA,NA,NA,6,"TX",6,4,13.9,NA,7.98464491362764,20.4605266451836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,16,39.4033211370673,"Non I-35 Corridor",0.866666666666667,"035","Bosque","2",FALSE,0.187703494682006,0.144692397142699,0.4143,0.275124678857488,0.0544808825751851,0.129892700619616,0.0361946501435696,0.00906755327187547,0.0101254344869276,0.1013094417643,0.0425951003323895,57337,FALSE,FALSE
48037,"Bowie",17.4,23.4,1.5431,0.1163,18.4166,3.1483,2.9777,94324,793,453,4.3,92570,20,21.6,"16",17.3,"63",68.1,14,15.1,"19",20.5,"109",117.7,"Metropolitan Statistical Area","Central",45500,"Texarkana, TX-AR","Metropolitan Statistical Area-Central",3,"TX",4,2,104,3.22952213837426,7.80144897893275,20.0122356414795,49,0,0,3,43,0,0,0,52.9329156314141,0,0,3.24079075294372,46.4513341255266,0,0,0,6,6.5,14,2,11,15.123690180404,"Non I-35 Corridor",0.983333333333333,"037","Bowie","1",TRUE,0.0774497447181218,0.16825208762916,0.4917,0.273975619347228,0.0646795123869446,0.142335823830122,0.0582618953991349,0.012504915454188,0.00577270939834841,0.115304961642797,0.0481010750527479,51796,FALSE,TRUE
48039,"Brazoria",8.3,10,1.6638,0.2216,16.4082,2.8522,2.6145,370200,894,521,4.8,375869,66,17.6,"65",17.3,"210",55.9,31,8.2,"86",22.9,"217",57.7,"Metropolitan Statistical Area","Central",26420,"Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,27.9,5.37589609468028,5.26703419876301,18.9304128289223,7,1,0,0,4,1,0,0,1.86235097866544,0.266050139809348,0,0,1.06420055923739,0.266050139809348,0,0,16,4.3,68,18,27,18.0914095070357,"Non I-35 Corridor",0.983333333333333,"039","Brazoria","6",FALSE,0.309985817606816,0.0792397792291004,0.4185,0.192505489305712,0.0577611934103427,0.199258684309925,0.0769872531887782,0.018632509141925,0.015988510852015,0.0784158989885976,0.0475682285587238,83325,FALSE,FALSE
48041,"Brazos",22.3,19.5,1.6265,0.1925,19.0002,2.3435,2.7352,226758,658,425,2.8,229410,45,19.6,"24",10.5,"153",66.7,27,11.8,"48",20.9,"224",97.6,"Metropolitan Statistical Area","Central",17780,"College Station-Bryan, TX","Metropolitan Statistical Area-Central",3,"TX",4,2,39.7,14.9669230999491,4.05945717108048,14.7291049361229,135,0,0,0,0,0,0,0,58.8466065123578,0,0,0,0,0,0,0,11,4.8,21,6,28,9.15391656858899,"Non I-35 Corridor",0.983333333333333,"041","Brazos","1",TRUE,0.258612006891373,0.23901621760158,0.5134,0.159270131813734,0.0459744595472449,0.223261053687578,0.104628693128089,0.0257706950851485,0.0604468345791088,0.0905733984346247,0.0436788869296699,50289,FALSE,TRUE
48043,"Brewster",14,16.6,2.2777,NA,12.05,NA,1.543,9267,41,47,3.2,9133,1,10.9,"1",10.9,"13",142.3,1,10.9,"1",10.9,"12",131.4,NA,NA,NA,NA,NA,7,"TX",6,11,20.2,52.3779593547035,8.50618059920386,24.4458824396133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,10.9493047191503,"Non I-35 Corridor",0.833333333333333,"043","Brewster","1",TRUE,0.451522045282201,0.156052017339113,0.4664,0.154014598540146,0.0293430656934307,0.272116788321168,0.0970802919708029,0.0144525547445255,0.0239416058394161,0.116029822926375,0.0419421487603306,45296,FALSE,TRUE
48045,"Briscoe",13.4,22.8,NA,0,14.8026,NA,NA,1516,NA,NA,3.1,1568,0,0,"0",0,"0",0,0,0,"0",0,"0",0,NA,NA,NA,NA,NA,9,"TX",6,12,0.2,NA,5.15679442508711,23.2821360230446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,63.7755102040816,"Non I-35 Corridor",0.766666666666667,"045","Briscoe","1",TRUE,0.361275964391691,0.168035847647498,0.4392,0.294985250737463,0.063913470993117,0.131760078662734,0.023598820058997,0.0147492625368732,0.00491642084562439,0.0629251700680272,0.03125,37875,FALSE,TRUE
48047,"Brooks",28.7,45,2.0089,NA,22.7679,3.683,3.5714,7114,588,633,6.4,7175,0,0,"0",0,"0",0,0,0,"0",0,"1",13.9,NA,NA,NA,NA,NA,7,"TX",6,9,18.3,NA,3.94290559638214,22.7710723876953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,13,111.498257839721,"Non I-35 Corridor",0.866666666666667,"047","Brooks","1",TRUE,0.917464788732394,0.40219880897847,0.5209,0.195739910313901,0.0659192825112108,0.126457399103139,0.0374439461883408,0,0,0.313131313131313,0.0113788487282463,25058,FALSE,TRUE
48049,"Brown",15.6,22.3,1.5848,0.3108,21.1156,2.1442,4.8167,37924,156,150,3.8,38923,29,74.5,"7",18,"51",131,21,54,"15",38.5,"30",77.1,"Micropolitan Statistical Area","Central",15220,"Brownwood, TX","Micropolitan Statistical Area-Central",5,"TX",5,8,59.7,NA,7.79629872686704,27.9468238353729,2,0,0,0,0,0,0,0,5.13835007579066,0,0,0,0,0,0,0,1,2.6,NA,NA,NA,NA,"Non I-35 Corridor",0.9,"049","Brown","1",TRUE,0.22526120883481,0.126822642346288,0.4645,0.27675022928768,0.0746713543258942,0.149648425557933,0.0397814124121064,0.00489147049831856,0.00672577193518802,0.113179143287259,0.0433612097605682,49180,FALSE,TRUE
48051,"Burleson",13.1,19.9,2.0416,0,16.2596,2.4061,2.479,18389,62,63,3.3,17718,1,5.6,"0",0,"0",0,0,0,"0",0,"4",22.6,"Metropolitan Statistical Area","Outlying",17780,"College Station-Bryan, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,16.9,22.6731663076749,7.19306201110985,18.638750910759,6,0,6,0,5,0,0,0,33.8638672536404,0,33.8638672536404,0,28.2198893780336,0,0,0,0,0,5,2,40,28.2198893780336,"Non I-35 Corridor",0.983333333333333,"051","Burleson","1",TRUE,0.208696605801393,0.113666666666667,0.4434,0.329286558927868,0.0398108001576665,0.15522270398108,0.0415451320457233,0.00851399290500591,0.00756799369333859,0.0920502092050209,0.0394003221409986,60058,FALSE,TRUE
48053,"Burnet",9.5,16.4,2.021,NA,15.9783,3.9283,1.7936,47542,428,452,2.7,48196,19,39.4,"10",20.7,"26",53.9,4,8.3,"7",14.5,"45",93.4,NA,NA,NA,NA,NA,6,"TX",6,4,13.9,NA,7.83228170160798,12.8642752766609,0,1,0,0,0,0,0,0,0,2.07486098431405,0,0,0,0,0,0,3,6.2,9,3,28,18.6737488588265,"Non I-35 Corridor",0.866666666666667,"053","Burnet","4",FALSE,0.2234583999327,0.0751289813669893,0.43,0.26071725448284,0.0432549578434865,0.17266357914737,0.0694098088113051,0.015437596484978,0.0100047500296877,0.0597676023930051,0.0320753033547466,59919,FALSE,FALSE
48055,"Caldwell",12.7,18.6,2.324,NA,17.9245,3.9577,3.1753,43247,194,100,3.2,44284,12,27.1,"13",29.4,"19",42.9,3,6.8,"9",20.3,"15",33.9,"Metropolitan Statistical Area","Outlying",12420,"Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,6.5,NA,5.18710633567988,27.741950750351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,11,31.6141269984645,"I-35 Corridor",0.95,"055","Caldwell","2",FALSE,0.530630357101151,0.158350393409466,0.4445,0.314113005393275,0.0637057950555616,0.106381438447895,0.0373185651717523,0.00220798494226662,0.00202700256994969,0.087846667634674,0.0252173470944125,59846,FALSE,FALSE
48057,"Calhoun",12.4,21.4,1.8654,NA,18.4877,1.8321,3.1979,21561,56,32,3.3,22840,0,0,"2",8.8,"10",43.8,1,4.4,"1",4.4,"16",70.1,"Micropolitan Statistical Area","Central",38920,"Port Lavaca, TX","Micropolitan Statistical Area-Central",6,"TX",5,5,29.8,NA,6.46573162240127,22.8458166122437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,50,21.8914185639229,"Non I-35 Corridor",0.95,"057","Calhoun","1",TRUE,0.491429902189101,0.100769702979648,0.4052,0.251918515417888,0.0572764057485698,0.111413422631506,0.0501604576531324,0.00258127528952142,0.0109529789312125,0.151613305095303,0.0430218389727247,57170,FALSE,TRUE
48059,"Callahan",12.2,19,1.8114,0,17.9749,2.7868,2.601,13994,6,5,3.3,13456,3,22.3,"2",14.9,"4",29.7,3,22.3,"2",14.9,"2",14.9,"Metropolitan Statistical Area","Outlying",10180,"Abilene, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,6.7,NA,8.78319229646922,27.9468238353729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.4,9,1,12,66.884661117717,"Non I-35 Corridor",0.966666666666667,"059","Callahan","3",FALSE,0.0982162045991833,0.0926568372361954,0.4175,0.27205292702486,0.0760825982357658,0.169306335204491,0.0423015236567763,0.0066158781074579,0.006214915797915,0.0878629932985853,0.0422670509125841,51955,FALSE,FALSE
48061,"Cameron",24.4,34.6,2.2909,0.2913,20.3517,2.3376,3.6755,423908,1115,902,6.1,427881,59,13.8,"52",12.2,"212",49.5,77,18,"83",19.4,"254",59.4,"Metropolitan Statistical Area","Central",15180,"Brownsville-Harlingen, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,22.3,9.50080400553897,3.81789808962583,29.8536658287048,261,1,0,94,303,0,0,84,60.9982682100865,0.233709839885389,0,21.9687249492265,70.8140814852728,0,0,19.6316265503727,20,4.7,28,5,16,6.54387551679088,"Non I-35 Corridor",0.983333333333333,"061","Cameron","4",FALSE,0.898328733698935,0.266815902707011,0.4754,0.219681952514023,0.0414306105627149,0.125707163104883,0.0418286725236726,0.00867292575541304,0.00531553446854707,0.236224875559196,0.0563090385378278,41200,FALSE,FALSE
48063,"Camp",16.7,24.8,1.59,NA,14.5372,2.7257,3.7479,13033,26,10,4.1,13322,3,22.5,"0",0,"5",37.5,2,15,"3",22.5,"12",90.1,"Micropolitan Statistical Area","Outlying",34420,"Mount Pleasant, TX","Micropolitan Statistical Area-Outlying",6,"TX",6,6,38.1,NA,7.03626444159178,22.6406246423721,84,0,0,2,1,0,0,4,630.535955562228,0,0,15.0127608467197,7.50638042335986,0,0,30.0255216934394,0,0,6,2,25,45.0382825401591,"Non I-35 Corridor",0.95,"063","Camp","1",TRUE,0.254444272685114,0.200543900543901,0.4615,0.274449443523561,0.0594364196069145,0.144091877811982,0.053516457494672,0.011011129528771,0.0101823348330571,0.171748878923767,0.0645218945487042,49539,FALSE,TRUE
48065,"Carson",8.3,10.7,NA,NA,14.7668,2.8497,2.4611,6005,25,25,2.7,5799,0,0,"0",0,"2",34.5,2,34.5,"0",0,"0",0,"Metropolitan Statistical Area","Outlying",11100,"Amarillo, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2,2.7,NA,6.88823833304632,23.2821360230446,0,1,0,0,0,0,0,0,0,17.2443524745646,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"Non I-35 Corridor",0.866666666666667,"065","Carson","2",FALSE,0.102232667450059,0.0855263157894737,0.3824,0.246844660194175,0.0516990291262136,0.192233009708738,0.0839805825242718,0.00145631067961165,0.00145631067961165,0.0355917667238422,0.0158940397350993,74246,FALSE,FALSE
