"","County Code","ACS5Y2020_Hispanic_Percent","ACS5Y2020_Poverty_Percent","ACS5Y2020_GINI_Index","ACS5Y2020_Highschool_Percent","ACS5Y2020_GED_Percent","ACS5Y2020_Bachelors_Percent","ACS5Y2020_Masters_Percent","ACS5Y2020_Professional_Percent","ACS5Y2020_Doctorate_Percent","ACS5Y2020_SNAP_Percent","ACS5Y2020_Unemployment_Percent","ACS5Y2020_Median Household Income"
"Bexar County, Texas","029",0.604964761934602,0.15599055796154,0.4692,0.20349574844598,0.0476605624163727,0.17948039449633,0.0749576104667692,0.0191199830520621,0.0111421665796431,0.132532064459376,0.0574184273187308,58288
"Blanco County, Texas","031",0.197477201056848,0.112025645468723,0.4961,0.228949433793026,0.0463056396457002,0.193295212467765,0.0578540195089136,0.0214149568337258,0.00896961542773854,0.0664523043944266,0.0491640456878,70397
"Borden County, Texas","033",0.130168453292496,0.0367534456355283,0.3815,0.179723502304147,0.0299539170506912,0.361751152073733,0.0898617511520737,0,0,0.0448430493273543,0.0546218487394958,83281
"Bosque County, Texas","035",0.187703494682006,0.144692397142699,0.4143,0.275124678857488,0.0544808825751851,0.129892700619616,0.0361946501435696,0.00906755327187547,0.0101254344869276,0.1013094417643,0.0425951003323895,57337
"Bowie County, Texas","037",0.0774497447181218,0.16825208762916,0.4917,0.273975619347228,0.0646795123869446,0.142335823830122,0.0582618953991349,0.012504915454188,0.00577270939834841,0.115304961642797,0.0481010750527479,51796
"Brazoria County, Texas","039",0.309985817606816,0.0792397792291004,0.4185,0.192505489305712,0.0577611934103427,0.199258684309925,0.0769872531887782,0.018632509141925,0.015988510852015,0.0784158989885976,0.0475682285587238,83325
"Brazos County, Texas","041",0.258612006891373,0.23901621760158,0.5134,0.159270131813734,0.0459744595472449,0.223261053687578,0.104628693128089,0.0257706950851485,0.0604468345791088,0.0905733984346247,0.0436788869296699,50289
"Brewster County, Texas","043",0.451522045282201,0.156052017339113,0.4664,0.154014598540146,0.0293430656934307,0.272116788321168,0.0970802919708029,0.0144525547445255,0.0239416058394161,0.116029822926375,0.0419421487603306,45296
"Briscoe County, Texas","045",0.361275964391691,0.168035847647498,0.4392,0.294985250737463,0.063913470993117,0.131760078662734,0.023598820058997,0.0147492625368732,0.00491642084562439,0.0629251700680272,0.03125,37875
"Brooks County, Texas","047",0.917464788732394,0.40219880897847,0.5209,0.195739910313901,0.0659192825112108,0.126457399103139,0.0374439461883408,0,0,0.313131313131313,0.0113788487282463,25058
"Brown County, Texas","049",0.22526120883481,0.126822642346288,0.4645,0.27675022928768,0.0746713543258942,0.149648425557933,0.0397814124121064,0.00489147049831856,0.00672577193518802,0.113179143287259,0.0433612097605682,49180
"Burleson County, Texas","051",0.208696605801393,0.113666666666667,0.4434,0.329286558927868,0.0398108001576665,0.15522270398108,0.0415451320457233,0.00851399290500591,0.00756799369333859,0.0920502092050209,0.0394003221409986,60058
"Burnet County, Texas","053",0.2234583999327,0.0751289813669893,0.43,0.26071725448284,0.0432549578434865,0.17266357914737,0.0694098088113051,0.015437596484978,0.0100047500296877,0.0597676023930051,0.0320753033547466,59919
"Caldwell County, Texas","055",0.530630357101151,0.158350393409466,0.4445,0.314113005393275,0.0637057950555616,0.106381438447895,0.0373185651717523,0.00220798494226662,0.00202700256994969,0.087846667634674,0.0252173470944125,59846
