"County","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Howard",34993,34990,35495,36185,36542,37123,36214,35817,35925,36664,36213,34620
"Hudspeth",3472,3412,3357,3339,3306,3541,4254,4604,4788,4886,4687,3322
"Hunt",86365,86687,86979,87429,88639,89670,91895,94046,96606,98594,96202,98783
"Hutchinson",22214,22024,22022,21921,21915,21793,21528,21343,21119,20938,21105,20801
"Irion",1607,1592,1573,1610,1574,1543,1562,1512,1516,1536,1553,1555
"Jack",9004,9030,8992,8951,8880,8883,8789,8828,8825,8935,8888,8494
"Jackson",14091,14048,14271,14610,14723,14808,14873,14806,14834,14760,14822,14971
"Jasper",35777,36204,35854,35617,35424,35266,35417,35549,35769,35529,35562,33369
"Jeff Davis",2344,2282,2296,2231,2217,2199,2231,2260,2243,2274,2245,2021
"Jefferson",252455,253494,251605,253079,252897,255112,255748,256041,253234,251565,253136,256755
"Jim Hogg",5287,5289,5277,5263,5328,5296,5257,5212,5192,5200,5187,4864
"Jim Wells",40894,41224,41651,41681,41504,41523,41181,40920,40756,40482,40796,39203
"Johnson",151264,152094,153415,154535,156733,159345,162763,167012,171121,175817,171359,177022
"Jones",20238,20270,19870,20044,19850,19966,19971,19827,19866,20083,19874,19721
"Karnes",14889,14959,14859,14727,14910,15413,15494,15556,15660,15601,15547,14823
"Kaufman",103872,105199,106553,108248,110872,114055,117904,122628,128279,136154,129792,140145
"Kendall",33589,34421,35551,37133,38363,39938,41903,43969,45603,47431,45491,43842
"Kenedy",417,438,447,438,437,441,436,427,437,404,391,169
"Kent",812,813,825,782,748,747,748,759,726,762,704,632
"Kerr",49643,49641,49719,49787,50343,50880,51426,51892,52415,52600,52195,52411
"Kimble",4601,4594,4525,4461,4464,4391,4413,4385,4338,4337,4375,4295
"King",288,258,270,273,263,282,292,289,276,272,279,229
"Kinney",3590,3607,3639,3632,3554,3589,3636,3711,3692,3667,3674,3199
"Kleberg",32037,32029,32097,32021,31891,31413,31304,30752,30722,30680,30725,31015
"Knox",3723,3722,3730,3722,3801,3792,3732,3674,3662,3664,3679,3384
"Lamar",49820,49861,49656,49092,49411,49373,49528,49568,49729,49859,7551,49932
"Lamb",13993,14059,13863,13663,13484,13259,13195,13165,13103,12893,49705,13147
"Lampasas",19762,19924,20054,20142,20106,20362,20524,20861,21134,21428,13018,21443
"La Salle",6913,7002,7157,7444,7481,7637,7596,7530,7493,7520,21152,6956
"Lavaca",19256,19311,19528,19631,19779,19919,19891,20028,20114,20154,20072,20287
"Lee",16591,16556,16505,16545,16621,16868,16975,17109,17097,17239,17174,17393
"Leon",16723,16829,16741,16620,16730,17028,17200,17235,17260,17404,17325,15877
"Liberty",75859,75990,76370,76849,78045,79537,81354,83597,85802,88219,86173,89948
"Limestone",23492,23591,23686,23440,23529,23442,23472,23391,23343,23437,23364,22252
"Lipscomb",3283,3334,3447,3490,3553,3559,3494,3364,3342,3233,3301,3138
"Live Oak",11556,11507,11655,11817,12057,12173,12023,12146,12148,12207,12175,11378
"Llano",19336,19073,19266,19509,19666,20081,20592,21167,21600,21795,21452,21246
"Loving",84,95,86,106,89,119,117,133,148,169,117,83
"Lubbock",280301,283408,285961,289515,294433,298337,302094,305413,307627,310569,308392,308580
"Lynn",5914,5886,5796,5728,5798,5746,5775,5832,5848,5951,5886,5587
"McCulloch",8231,8254,8241,8243,8152,8255,8124,7941,7982,7984,14329,7676
"McLennan",235917,237852,239368,241443,243166,245444,247553,251631,254196,256623,9987,258031
"McMullen",711,697,730,760,799,828,806,765,731,743,5676,729
"Madison",13739,13753,13746,13820,13871,13968,14120,14251,14363,14284,4248,13579
"Marion",10485,10475,10374,10277,10149,10136,10125,10057,9915,9854,36791,9748
"Martin",4809,4884,4980,5272,5462,5646,5616,5531,5681,5771,58098,5213
"Mason",4010,4033,4056,4120,4095,4057,4161,4179,4259,4274,7970,3948
"Matagorda",36709,36681,36544,36500,36478,36766,37088,36805,36566,36643,254045,36323
"Maverick",54432,55260,55765,56532,57115,57720,58041,58111,58276,58722,724,57769
"Medina",46114,46507,46796,47238,47830,48402,49254,50183,50862,51584,50869,50458
"Menard",2230,2214,2204,2137,2128,2134,2091,2110,2120,2138,2108,1981
"Midland",136974,140224,147332,152356,156725,162328,163850,165318,172505,176832,171238,166964
"Milam",24681,24607,24114,24090,24143,24362,24680,24939,25045,24823,24797,24895
"Mills",4968,4883,4832,4872,4872,4889,4884,4917,4883,4873,4877,4520
"Mitchell",9412,9396,9329,8999,9070,8856,8474,8215,8525,8545,8256,8903
"Montague",19718,19759,19477,19387,19365,19252,19390,19399,19584,19818,19640,19850
"Montgomery",459208,471415,484565,498392,517146,535753,555216,571615,589770,607391,590188,607999
"Moore",22005,22070,22430,22146,21986,21725,21641,21604,21083,20940,21169,21494
"Morris",12919,12770,12703,12680,12606,12370,12429,12375,12303,12388,12357,11988
"Motley",1205,1200,1197,1192,1149,1146,1170,1226,1232,1200,1362,1269
"Nacogdoches",64685,65655,65866,65193,65240,65462,65549,65317,65161,65204,65080,64822
"Navarro",47869,48074,48163,48036,47913,48181,48405,48739,49536,50113,49475,51908
"Newton",14448,14563,14434,14341,14292,14158,14160,13908,13751,13595,13788,12532
"Nolan",15244,15143,14932,15068,15126,15111,15044,14854,14799,14714,14901,14727
"Nueces",340245,343263,347939,352946,356657,360504,361642,361235,362026,362294,362151,353594
"Ochiltree",10171,10444,10612,10704,10715,10698,10257,9996,9866,9836,9907,10063
"Oldham",2050,2072,2046,2088,2069,2064,2074,2104,2118,2112,2110,2251
"Orange",82012,82341,82887,82811,83244,83955,84549,84971,83474,83396,83776,85045
"Palo Pinto",28095,28062,27867,27886,28041,27966,28125,28544,28874,29189,28792,28303
"Panola",23772,24007,24001,23790,23750,23667,23419,23211,23142,23194,23186,22583
"Parker",117316,118320,119482,119785,122147,125640,128967,133501,138070,142878,138447,144803
"Parmer",10265,10276,10184,9986,9952,9794,9762,9710,9719,9605,9639,9874
"Pecos",15523,15643,15568,15660,15828,16030,15881,15634,15709,15823,15725,15202
