"","County Code","Population","ACS5Y2020_Hispanic_Percent","ACS5Y2020_Poverty_Percent","ACS5Y2020_GINI_Index","ACS5Y2020_Highschool_Percent","ACS5Y2020_GED_Percent","ACS5Y2020_Bachelors_Percent","ACS5Y2020_Masters_Percent","ACS5Y2020_Professional_Percent","ACS5Y2020_Doctorate_Percent","ACS5Y2020_SNAP_Percent","ACS5Y2020_Unemployment_Percent","ACS5Y2020_Median Household Income"
"Fisher County, Texas","151",3720,0.291129032258065,0.110114192495922,0.4218,0.288871951219512,0.0605945121951219,0.12842987804878,0.0567835365853659,0.00685975609756098,0.0038109756097561,0.11545988258317,0.0378630705394191,55862
"Floyd County, Texas","153",5478,0.592917123037605,0.133259709184613,0.4232,0.234946539110861,0.0613393359594823,0.106640405177265,0.0343275182892515,0.00759707371975239,0.00084411930219471,0.177930306230201,0.0447390223695112,54007
"Foard County, Texas","155",1087,0.216191352345906,0.123444976076555,0.4946,0.178398058252427,0.0558252427184466,0.127427184466019,0.0424757281553398,0,0,0.125265392781316,0.100970873786408,37679
"Fort Bend County, Texas","157",806497,0.249227213492425,0.071508826745821,0.4263,0.150867319404826,0.0286292498650836,0.285847274689692,0.142803176316398,0.0254799167373371,0.0264937167527561,0.0636419071731261,0.0546236885300039,102590
"Franklin County, Texas","159",10413,0.153173917218861,0.0869565217391304,0.4572,0.215804195804196,0.0594405594405594,0.199440559440559,0.0711888111888112,0.00587412587412587,0.0151048951048951,0.0854483925549915,0.0664512219753585,61391
"Freestone County, Texas","161",19478,0.164390594516891,0.132680714562248,0.4513,0.267385483754251,0.0668644619726464,0.112526231999421,0.0353860626673421,0.00709168536073522,0.0046313047253781,0.149535556570732,0.0271395942496305,55910
"Frio County, Texas","163",18428,0.798350336444541,0.249845307665865,0.4905,0.30398322851153,0.0731236897274633,0.0405870020964361,0.0277568134171908,0.00779874213836478,0.0128301886792453,0.214780600461894,0.0511838933787041,58456
"Gaines County, Texas","165",21167,0.423914584022299,0.139522747758433,0.4362,0.251931858096242,0.0735862311204777,0.0829820864067439,0.0217773094485423,0.00254654021777309,0,0.0881180811808118,0.0328842201415848,67728
"Galveston County, Texas","167",347084,0.254857613718869,0.107928817774441,0.4544,0.193080648683833,0.0503556455791606,0.221780668810675,0.0746448897091885,0.0192061459667093,0.0166924318792047,0.11126276757888,0.0571952537539954,79328
"Garza County, Texas","169",5734,0.498604813393791,0.1376574895007,0.3758,0.232694106641721,0.0912067352666043,0.0703928905519177,0.0427970065481759,0.00140318054256314,0.00187090739008419,0.121407624633431,0.069206008583691,64871
"Gillespie County, Texas","171",26730,0.242162364384587,0.111947354487349,0.4788,0.2301152368758,0.0334955185659411,0.231856594110115,0.0885531370038412,0.0180281690140845,0.0138284250960307,0.0365015618027666,0.0472292191435768,64438
"Glasscock County, Texas","173",1221,0.441441441441441,0.124488124488124,0.478,0.168471720818291,0.0144404332129964,0.235860409145608,0.0613718411552347,0.0108303249097473,0,0.0984682713347921,0,85417
"Goliad County, Texas","175",7085,0.361750176429076,0.10769890015712,0.5013,0.248866995073892,0.0386206896551724,0.138916256157635,0.0364532019704433,0.0025615763546798,0.00354679802955665,0.135529764133283,0.0375816993464052,52335
"Gonzales County, Texas","177",19720,0.517951318458418,0.138634728076488,0.4755,0.376153244722439,0.0543393275996873,0.0930414386239249,0.0297107114933542,0.00523846755277561,0.00774042220484754,0.143143009605123,0.00791829240302961,55698
"Gray County, Texas","179",21398,0.300401906720254,0.162581823717461,0.4877,0.2484410430839,0.0834041950113379,0.110402494331066,0.0283446712018141,0.00552721088435374,0.00212585034013605,0.128029437888593,0.049645390070922,50635
