State/County,BAC .00 g/dL,,BAC .01-.07 g/dL,,BAC .08+ g/dL,,BAC .01+ g/dL,,BAC .15+ g/dL,,Total,
Texas - Erath,7,83,0,5,1,13,1,18,1,9,8,100
Texas - Falls,3,83,0,0,1,17,1,17,0,10,3,100
Texas - Fannin,6,51,0,4,5,45,5,49,2,22,11,100
Texas - Fayette,5,48,0,3,5,49,5,52,3,25,10,100
Texas - Fisher,1,50,0,0,1,50,1,50,0,0,2,100
Texas - Floyd,1,65,0,20,0,15,1,35,0,15,2,100
Texas - Foard,1,60,0,10,0,30,0,40,0,30,1,100
Texas - Fort Bend,25,64,1,2,13,34,14,36,9,24,39,100
Texas - Freestone,4,70,0,3,2,27,2,30,2,25,6,100
Texas - Frio,3,87,0,0,0,13,0,13,0,7,3,100
Texas - Gaines,2,77,0,10,0,13,1,23,0,10,3,100
Texas - Galveston,16,43,5,14,16,43,22,57,12,32,38,100
Texas - Garza,1,45,0,10,1,45,1,55,1,30,2,100
Texas - Gillespie,5,56,1,13,3,31,4,44,2,26,8,100
Texas - Glasscock,1,40,1,37,1,23,2,60,0,13,3,100
Texas - Goliad,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Gonzales,8,83,0,1,2,16,2,17,1,13,10,100
Texas - Gray,1,43,0,0,2,57,2,57,0,13,3,100
Texas - Grayson,14,62,2,10,6,28,8,38,3,15,22,100
Texas - Gregg,15,49,4,12,12,39,16,51,10,31,31,100
Texas - Grimes,3,36,2,17,4,48,6,64,3,37,9,100
Texas - Guadalupe,9,61,1,3,5,36,6,39,4,23,15,100
Texas - Hale,2,45,0,0,2,55,2,55,2,43,4,100
Texas - Hall,1,90,0,10,0,0,0,10,0,0,1,100
Texas - Hamilton,1,35,0,5,1,60,1,65,1,55,2,100
Texas - Hansford,1,70,0,5,1,25,1,30,0,20,2,100
Texas - Hardeman,1,45,0,0,1,55,1,55,1,55,2,100
Texas - Hardin,5,45,1,7,5,47,6,55,4,35,11,100
Texas - Harris,215,50,33,8,185,43,218,50,127,29,433,100
Texas - Harrison,7,44,1,9,8,48,9,56,5,31,16,100
Texas - Hartley,3,56,1,14,2,30,2,44,1,14,5,100
Texas - Haskell,0,10,0,5,2,85,2,90,0,15,2,100
Texas - Hays,13,48,0,1,13,51,14,52,7,27,26,100
Texas - Henderson,8,55,0,1,7,43,7,45,2,13,15,100
Texas - Hidalgo,28,48,5,8,26,45,31,52,16,26,59,100
Texas - Hill,6,76,0,5,2,19,2,24,1,8,8,100
Texas - Hockley,1,35,1,30,1,35,3,65,1,30,4,100
Texas - Hood,5,56,0,4,4,40,4,44,2,23,9,100
Texas - Hopkins,9,68,0,3,4,28,4,32,3,25,13,100
Texas - Houston,4,47,1,13,4,40,5,53,3,30,9,100
Texas - Howard,6,62,0,0,2,27,2,27,2,23,9,100
Texas - Hudspeth,7,54,1,4,5,42,6,46,5,38,12,100
Texas - Hunt,11,47,4,18,8,35,12,53,7,28,23,100
Texas - Jack,1,90,0,0,0,10,0,10,0,0,1,100
Texas - Jackson,1,20,0,0,2,80,2,80,1,27,3,100
Texas - Jasper,5,77,0,0,1,23,1,23,1,17,6,100
Texas - Jeff Davis,2,95,0,5,0,0,0,5,0,0,2,100
Texas - Jefferson,22,65,1,4,11,31,12,35,7,21,34,100
Texas - Jim Wells,5,56,0,3,3,41,4,44,3,33,8,100
Texas - Johnson,11,55,2,8,8,38,9,45,6,30,20,100
Texas - Jones,5,58,1,14,2,29,3,43,2,19,8,100
Texas - Karnes,2,80,0,0,1,20,1,20,0,13,3,100
Texas - Kaufman,18,65,3,9,7,26,9,35,4,16,27,100
Texas - Kendall,2,38,1,30,1,33,3,63,1,30,4,100
Texas - Kenedy,1,80,0,20,0,0,0,20,0,0,1,100
Texas - Kent,0,0,0,0,1,100,1,100,1,100,1,100
Texas - Kerr,2,80,0,0,1,20,1,20,0,13,3,100
Texas - Kimble,4,78,0,4,1,18,1,22,1,16,5,100
Texas - Kleberg,3,58,0,4,2,38,2,42,1,28,5,100
Texas - Knox,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Lamar,5,80,0,2,1,18,1,20,1,12,6,100
Texas - Lamb,2,75,0,5,0,20,1,25,0,5,2,100
Texas - Lampasas,4,70,1,18,1,12,2,30,0,3,6,100
Texas - La Salle,4,63,0,3,2,33,2,37,2,27,6,100
Texas - Lavaca,3,49,0,3,3,49,4,51,2,29,7,100
Texas - Lee,1,23,0,0,2,77,2,77,2,77,3,100
Texas - Leon,4,53,1,14,2,33,3,47,2,24,7,100
Texas - Liberty,22,58,2,6,13,36,15,42,10,26,37,100
Texas - Limestone,2,100,0,0,0,0,0,0,0,0,2,100
Texas - Live Oak,5,61,0,1,3,38,3,39,2,29,8,100
Texas - Llano,1,30,0,0,2,70,2,70,1,37,3,100
Texas - Loving,1,90,0,0,0,10,0,10,0,0,1,100
Texas - Lubbock,17,40,1,2,24,58,25,60,17,41,41,100
Texas - Lynn,1,47,0,0,2,53,2,53,2,50,3,100
Texas - McLennan,22,55,3,7,15,38,18,45,10,24,40,100
Texas - Madison,5,75,0,3,1,22,2,25,1,18,6,100
Texas - Marion,4,53,0,6,3,41,3,47,3,36,7,100
Texas - Martin,4,86,0,2,1,12,1,14,1,10,5,100
Texas - Mason,1,70,0,5,1,25,1,30,0,20,2,100
Texas - Matagorda,5,63,0,0,3,38,3,38,3,31,8,100
Texas - Maverick,2,38,1,20,3,42,4,62,2,37,6,100
Texas - Medina,9,72,1,4,3,25,4,28,3,20,13,100
Texas - Menard,1,80,0,0,0,20,0,20,0,10,1,100
Texas - Midland,16,42,2,6,20,52,22,58,15,39,38,100
Texas - Milam,6,41,0,3,8,56,9,59,6,39,15,100
Texas - Mills,1,40,1,37,1,23,2,60,1,17,3,100
Texas - Mitchell,4,80,0,0,1,20,1,20,0,0,5,100
Texas - Montague,4,72,0,0,2,28,2,28,1,20,6,100
Texas - Montgomery,26,50,3,6,22,44,25,50,14,28,51,100
Texas - Moore,1,65,0,10,1,25,1,35,0,20,2,100
Texas - Morris,3,65,0,0,1,35,1,35,1,33,4,100
Texas - Nacogdoches,9,72,0,1,3,28,3,28,2,16,12,100
Texas - Navarro,8,63,0,2,4,35,4,37,4,32,12,100
Texas - Newton,2,53,1,30,1,17,1,47,0,7,3,100
Texas - Nolan,10,80,0,1,3,19,3,20,2,18,13,100
Texas - Nueces,25,53,1,2,22,45,23,48,15,32,48,100
Texas - Oldham,3,65,0,5,1,30,1,35,1,23,4,100
Texas - Orange,9,46,1,5,9,49,10,54,7,37,19,100
Texas - Palo Pinto,5,59,1,11,2,30,3,41,2,23,8,100
Texas - Panola,5,83,0,0,1,17,1,17,1,15,6,100
Texas - Parker,14,72,0,2,5,26,5,28,3,17,19,100
Texas - Parmer,2,90,0,5,0,5,0,10,0,0,2,100
Texas - Pecos,9,58,1,8,5,34,7,42,5,29,16,100
Texas - Polk,9,57,2,15,4,28,6,43,3,20,15,100
Texas - Potter,16,58,2,6,10,36,11,42,4,13,27,100
Texas - Presidio,0,0,0,0,1,100,1,100,1,100,1,100
Texas - Rains,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Randall,4,59,1,17,2,24,3,41,1,19,7,100
Texas - Reagan,0,0,0,0,1,100,1,100,1,100,1,100
Texas - Real,2,85,0,10,0,5,0,15,0,0,2,100
Texas - Red River,3,70,0,0,1,30,1,30,0,3,4,100
Texas - Reeves,9,66,1,11,3,23,4,34,1,6,13,100
Texas - Refugio,3,64,0,6,2,30,2,36,1,26,5,100
Texas - Roberts,0,10,0,10,2,80,2,90,1,50,2,100
Texas - Robertson,3,65,0,0,1,35,1,35,1,28,4,100
Texas - Rockwall,7,52,0,3,6,45,6,48,4,32,13,100
Texas - Runnels,1,80,0,0,0,20,0,20,0,20,1,100
Texas - Rusk,12,75,0,3,4,23,4,25,2,14,16,100
Texas - Sabine,2,70,0,7,1,23,1,30,0,10,3,100
Texas - San Augustine,3,40,0,1,4,59,4,60,4,51,7,100
Texas - San Jacinto,2,46,0,2,3,52,3,54,1,26,5,100
Texas - San Patricio,7,64,1,10,3,26,4,36,2,15,11,100
Texas - Scurry,2,85,0,0,0,15,0,15,0,10,2,100
Texas - Shackelford,1,90,0,0,0,10,0,10,0,0,1,100
Texas - Shelby,6,56,1,12,4,32,5,44,3,24,11,100
Texas - Smith,23,54,2,5,18,41,20,46,9,21,43,100
Texas - Somervell,3,52,0,2,2,46,2,48,2,44,5,100
Texas - Starr,1,27,0,0,2,73,2,73,2,60,3,100
Texas - Stephens,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Stonewall,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Sutton,2,57,1,37,0,7,1,43,0,3,3,100
Texas - Swisher,1,90,0,0,0,10,0,10,0,10,1,100
Texas - Tarrant,90,52,5,3,76,45,81,48,49,29,171,100
Texas - Taylor,12,77,0,1,3,23,4,23,3,18,15,100
Texas - Terry,2,80,0,0,0,20,0,20,0,5,2,100
Texas - Throckmorton,1,70,0,10,0,20,0,30,0,10,1,100
Texas - Titus,4,80,0,2,1,18,1,20,1,10,5,100
Texas - Tom Green,6,51,0,1,5,48,5,49,4,33,11,100
Texas - Travis,52,48,7,6,50,46,57,52,34,31,109,100
Texas - Trinity,1,45,0,5,1,50,1,55,0,20,2,100
Texas - Tyler,2,75,0,5,0,20,1,25,0,15,2,100
Texas - Upshur,4,70,0,8,1,22,2,30,1,18,5,100
Texas - Uvalde,2,63,0,3,1,33,1,37,1,27,3,100
Texas - Val Verde,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Van Zandt,10,70,1,4,4,26,4,30,3,18,14,100
Texas - Victoria,6,46,1,4,7,50,7,54,5,35,13,100
Texas - Walker,9,47,1,4,9,49,10,53,7,35,19,100
Texas - Waller,12,64,1,3,6,34,7,36,5,25,19,100
Texas - Ward,7,73,0,3,2,23,2,27,1,13,9,100
Texas - Washington,6,63,0,2,3,34,3,37,3,32,9,100
Texas - Webb,7,41,3,14,8,45,11,59,5,29,18,100
Texas - Wharton,4,63,0,3,2,33,2,37,1,20,6,100
Texas - Wheeler,5,76,0,3,2,21,2,24,0,6,7,100
Texas - Wichita,6,51,1,8,5,42,6,49,3,23,12,100
Texas - Wilbarger,2,45,0,0,2,55,2,55,2,53,4,100
Texas - Willacy,1,30,0,3,2,67,2,70,2,67,3,100
Texas - Williamson,17,47,2,6,17,47,19,53,11,31,36,100
Texas - Wilson,3,85,0,3,1,13,1,15,0,10,4,100
Texas - Winkler,3,70,1,25,0,5,1,30,0,5,4,100
Texas - Wise,12,56,2,11,7,32,9,44,4,19,21,100
Texas - Wood,4,41,2,15,4,44,6,59,2,24,10,100
Texas - Yoakum,2,95,0,0,0,5,0,5,0,5,2,100
Texas - Young,4,98,0,0,0,3,0,3,0,0,4,100
Texas - Zavala,0,0,0,0,1,100,1,100,1,100,1,100
Total,"1,817",54,213,6,"1,318",39,"1,531",46,894,27,"3,352",100
