State/County,BAC .00 g/dL,,BAC .01-.07 g/dL,,BAC .08+ g/dL,,BAC .01+ g/dL,,BAC .15+ g/dL,,Total,
State/County,#,%,#,%,#,%,#,%,#,%,#,%
Texas - Hopkins,5,64,0,3,3,34,3,36,2,24,8,100
Texas - Houston,5,59,0,4,3,38,3,41,2,28,8,100
Texas - Howard,8,65,1,5,4,31,5,35,3,24,13,100
Texas - Hudspeth,5,77,0,4,1,19,2,23,1,11,7,100
Texas - Hunt,16,65,4,15,5,20,8,35,1,6,24,100
Texas - Hutchinson,1,55,0,5,1,40,1,45,1,25,2,100
Texas - Jackson,3,46,0,4,4,50,4,54,3,43,7,100
Texas - Jasper,5,49,2,24,3,27,5,51,2,16,10,100
Texas - Jefferson,29,58,2,5,18,37,21,42,11,23,49,100
Texas - Jim Wells,2,38,0,5,2,58,3,63,1,23,4,100
Texas - Johnson,10,55,1,7,7,38,9,45,4,21,19,100
Texas - Jones,2,30,1,22,2,48,4,70,2,48,5,100
Texas - Karnes,3,93,0,0,0,7,0,7,0,3,3,100
Texas - Kaufman,21,72,1,3,7,25,8,28,6,19,29,100
Texas - Kendall,4,62,0,7,2,32,2,38,2,27,6,100
Texas - Kenedy,1,90,0,0,0,10,0,10,0,0,1,100
Texas - Kerr,6,57,1,7,4,36,4,43,2,23,10,100
Texas - Kimble,5,77,0,3,1,20,1,23,1,17,6,100
Texas - Kinney,1,55,0,5,1,40,1,45,1,30,2,100
Texas - Kleberg,2,45,0,3,2,53,2,55,1,20,4,100
Texas - Knox,2,48,0,0,2,53,2,53,2,50,4,100
Texas - Lamar,6,55,0,4,5,41,5,45,3,26,11,100
Texas - Lamb,1,50,0,0,1,50,1,50,1,50,2,100
Texas - Lampasas,4,98,0,0,0,3,0,3,0,3,4,100
Texas - La Salle,1,90,0,10,0,0,0,10,0,0,1,100
Texas - Lavaca,2,90,0,0,0,10,0,10,0,10,2,100
Texas - Lee,2,45,0,10,2,45,2,55,1,20,4,100
Texas - Leon,3,40,0,3,4,57,4,60,2,30,7,100
Texas - Liberty,14,68,1,5,6,27,7,32,3,15,21,100
Texas - Limestone,4,54,0,4,3,41,3,46,2,31,7,100
Texas - Lipscomb,0,0,0,0,1,100,1,100,0,0,1,100
Texas - Live Oak,4,74,0,0,1,26,1,26,1,26,5,100
Texas - Llano,1,33,0,0,2,67,2,67,1,33,3,100
Texas - Loving,1,30,0,0,1,70,1,70,1,60,2,100
Texas - Lubbock,18,47,1,4,19,49,20,53,14,37,38,100
Texas - Lynn,0,0,0,0,1,100,1,100,0,0,1,100
Texas - McCulloch,2,77,0,3,1,20,1,23,1,17,3,100
Texas - McLennan,20,64,1,2,10,32,10,33,8,26,31,100
Texas - Madison,3,50,1,18,2,32,3,50,1,18,6,100
Texas - Marion,2,46,0,6,2,48,3,54,2,34,5,100
Texas - Martin,5,78,0,5,1,17,1,22,0,7,6,100
Texas - Mason,1,35,0,5,1,60,1,65,1,55,2,100
Texas - Matagorda,5,53,1,14,2,21,3,36,1,14,9,100
Texas - Maverick,2,53,0,0,1,47,1,47,1,43,3,100
Texas - Medina,4,59,0,0,2,27,2,27,1,20,7,100
Texas - Menard,0,10,0,0,1,90,1,90,1,60,1,100
Texas - Midland,14,56,2,9,9,35,11,44,6,24,25,100
Texas - Milam,5,56,1,12,3,32,4,44,2,21,9,100
Texas - Mills,1,60,0,0,1,40,1,40,0,15,2,100
Texas - Mitchell,2,48,0,0,2,53,2,53,2,48,4,100
Texas - Montague,4,90,0,0,0,10,0,10,0,8,4,100
Texas - Montgomery,33,65,2,4,16,31,18,35,12,24,51,100
Texas - Moore,2,40,0,0,3,60,3,60,2,40,5,100
Texas - Morris,4,72,0,6,1,22,1,28,1,14,5,100
Texas - Motley,1,90,0,0,0,10,0,10,0,10,1,100
Texas - Nacogdoches,6,38,1,9,9,53,10,62,5,29,16,100
Texas - Navarro,8,63,1,10,3,28,5,38,1,8,12,100
Texas - Newton,4,72,1,17,1,12,2,28,0,7,6,100
Texas - Nolan,2,48,1,22,2,30,3,52,1,26,5,100
Texas - Nueces,20,57,3,7,13,36,16,43,9,26,36,100
Texas - Ochiltree,0,20,0,20,1,60,1,80,0,30,1,100
Texas - Oldham,4,76,0,6,1,18,1,24,1,14,5,100
Texas - Orange,18,61,2,6,10,33,11,39,7,24,29,100
Texas - Palo Pinto,5,48,1,5,5,47,6,52,4,35,11,100
Texas - Panola,8,89,0,1,1,10,1,11,1,8,9,100
Texas - Parker,11,63,0,2,6,35,7,37,4,22,18,100
Texas - Parmer,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Pecos,3,73,0,3,1,25,1,28,1,15,4,100
Texas - Polk,7,51,1,10,5,39,6,49,4,28,13,100
Texas - Potter,9,45,1,4,10,51,11,55,7,34,20,100
Texas - Presidio,0,0,0,0,2,100,2,100,2,100,2,100
Texas - Rains,3,63,0,3,1,35,2,38,1,18,4,100
Texas - Randall,8,62,0,2,5,36,5,38,3,22,13,100
Texas - Reagan,0,0,0,0,1,100,1,100,1,100,1,100
Texas - Real,4,72,0,0,1,28,1,28,1,26,5,100
Texas - Red River,2,60,0,3,2,38,2,40,1,33,4,100
Texas - Reeves,7,73,0,3,2,24,3,27,2,15,10,100
Texas - Refugio,2,67,0,0,1,33,1,33,1,33,3,100
