County,2020 Total Population,2020 LBSW Total,Ratio of 2020 Population to LBSW,"Ratio of LBSWs to 100,000 Population",Rank
Franklin,"10,924",1,"10,924.00",9.2,164
Freestone,"19,860",0,-,0,-
Frio,"20,023",0,-,0,-
Gaines,"22,121",1,"22,121.00",4.5,193
Galveston,"355,196",42,"8,457.00",11.8,138
Garza,"6,784",1,"6,784.00",14.7,112
Gillespie,"26,191",2,"13,095.50",7.6,179
Glasscock,"1,365",0,-,0,-
Goliad,"7,717",0,-,0,-
Gonzales,"21,347",1,"21,347.00",4.7,191
Gray,"24,252",6,"4,042.00",24.7,58
Grayson,"131,710",23,"5,726.50",17.5,95
Gregg,"125,730",32,"3,929.10",25.5,55
Grimes,"28,930",2,"14,465.00",6.9,183
Guadalupe,"170,266",19,"8,961.40",11.2,146
Hale,"33,202",7,"4,743.10",21.1,78
Hall,"3,305",0,-,0,-
Hamilton,"8,220",2,"4,110.00",24.3,59
Hansford,"5,820",0,-,0,-
Hardeman,"3,870",2,"1,935.00",51.7,14
Hardin,"56,486",18,"3,138.10",31.9,39
Harris,"4,978,845",335,"14,862.20",6.7,185
Harrison,"68,247",9,"7,583.00",13.2,128
Hartley,"6,067",0,-,0,-
Haskell,"6,197",2,"3,098.50",32.3,38
Hays,"234,896",27,"8,699.90",11.5,143
Hemphill,"4,644",1,"4,644.00",21.5,77
Henderson,"81,179",18,"4,509.90",22.2,75
Hidalgo,"870,366",235,"3,703.70",27,52
Hill,"35,673",3,"11,891.00",8.4,171
Hockley,"24,636",4,"6,159.00",16.2,101
Hood,"58,643",17,"3,449.60",29,49
Hopkins,"37,040",17,"2,178.80",45.9,23
Houston,"22,620",4,"5,655.00",17.7,93
Howard,"41,236",12,"3,436.30",29.1,48
Hudspeth,"3,400",0,-,0,-
Hunt,"95,324",13,"7,332.60",13.6,123
Hutchinson,"21,461",4,"5,365.30",18.6,90
Irion,"1,508",0,-,0,-
Jack,"8,841",2,"4,420.50",22.6,70
Jackson,"15,899",0,-,0,-
Jasper,"35,525",9,"3,947.20",25.3,57
Jeff Davis,"2,113",0,-,0,-
Jefferson,"258,678",88,"2,939.50",34,36
