County,2020 Total Population,2020 LPC Total,Ratio of 2020 Population to LPC,"Ratio of LPCs to 100,000 Population",Rank
Tarrant,"2,143,755","1,826","1,174.00",85.2,35
Taylor,"139,457",200,697.3,143.4,3
Terrell,"1,054",0,-,0,-
Terry,"13,040",0,-,0,-
Throckmorton,"1,519",1,"1,519.00",65.8,58
Titus,"32,953",25,"1,318.10",75.9,44
Tom Green,"123,276",125,986.2,101.4,20
Travis,"1,291,502","1,698",760.6,131.5,6
Trinity,"14,233",3,"4,744.30",21.1,184
Tyler,"21,343",6,"3,557.20",28.1,169
Upshur,"41,655",16,"2,603.40",38.4,138
Upton,"3,983",0,-,0,-
Uvalde,"27,937",15,"1,862.50",53.7,89
Val Verde,"48,253",8,"6,031.60",16.6,194
Van Zandt,"55,469",22,"2,521.30",39.7,132
Victoria,"97,744",82,"1,192.00",83.9,37
Walker,"73,997",79,936.7,106.8,17
Waller,"50,731",19,"2,670.10",37.5,142
Ward,"13,592",1,"13,592.00",7.4,210
Washington,"35,155",16,"2,197.20",45.5,119
Webb,"276,183",125,"2,209.50",45.3,120
Wharton,"41,941",25,"1,677.60",59.6,74
Wheeler,"5,783",2,"2,891.50",34.6,148
Wichita,"133,138",149,893.5,111.9,14
Wilbarger,"13,038",14,931.3,107.4,16
Willacy,"22,134",11,"2,012.20",49.7,109
Williamson,"589,914",504,"1,170.50",85.4,34
Wilson,"51,802",27,"1,918.60",52.1,94
Winkler,"9,295",0,-,0,-
Wise,"65,807",34,"1,935.50",51.7,97
Wood,"45,292",25,"1,811.70",55.2,81
Yoakum,"9,225",1,"9,225.00",10.8,208
Young,"18,712",10,"1,871.20",53.4,91
Zapata,"14,409",1,"14,409.00",6.9,212
Zavala,"12,682",2,"6,341.00",15.8,197
Texas Total,"29,677,668","22,709","1,306.90",76.5,-
