County,2020 Total Population,2020 LMSW Total,Ratio of 2020 Population to LMSW,"Ratio of LMSWs to 100,000 Population",Rank
McLennan,"253,066",196,"1,291.20",77.5,4
McMullen,783,0,-,0,181
Medina,"50,594",10,"5,059.40",19.8,95
Menard,"2,188",0,-,0,181
Midland,"187,364",22,"8,516.50",11.7,139
Milam,"24,635",1,"24,635.00",4.1,179
Mills,"4,870",0,-,0,181
Mitchell,"9,865",0,-,0,181
Montague,"19,199",2,"9,599.50",10.4,145
Montgomery,"613,951",110,"5,581.40",17.9,103
Moore,"21,575",3,"7,191.70",13.9,126
Morris,"12,448",2,"6,224.00",16.1,113
Motley,"1,172",0,-,0,181
Nacogdoches,"64,106",37,"1,732.60",57.7,9
Navarro,"47,985",6,"7,997.50",12.5,131
Newton,"13,724",4,"3,431.00",29.1,57
Nolan,"15,642",0,-,0,181
Nueces,"383,718",101,"3,799.20",26.3,68
Ochiltree,"11,309",0,-,0,181
Oldham,"2,200",1,"2,200.00",45.5,20
Orange,"86,155",6,"14,359.20",7,159
Palo Pinto,"27,859",9,"3,095.40",32.3,50
Panola,"24,576",4,"6,144.00",16.3,110
Parker,"135,621",47,"2,885.60",34.7,44
Parmer,"9,200",0,-,0,181
Pecos,"16,533",1,"16,533.00",6,165
Polk,"49,080",7,"7,011.40",14.3,124
Potter,"122,706",53,"2,315.20",43.2,22
Presidio,"5,906",0,-,0,181
Rains,"11,378",1,"11,378.00",8.8,153
Randall,"138,104",78,"1,770.60",56.5,10
Reagan,"4,226",0,-,0,181
Real,"3,407",1,"3,407.00",29.4,56
Red River,"12,610",2,"6,305.00",15.9,114
Reeves,"15,707",1,"15,707.00",6.4,163
Refugio,"7,573",0,-,0,181
Roberts,983,0,-,0,181
Robertson,"16,888",4,"4,222.00",23.7,78
Rockwall,"102,243",26,"3,932.40",25.4,75
Runnels,"11,009",4,"2,752.30",36.3,36
Rusk,"52,767",10,"5,276.70",19,98
Sabine,"9,936",1,"9,936.00",10.1,149
San Augustine,"8,405",2,"4,202.50",23.8,77
San Jacinto,"28,844",2,"14,422.00",6.9,160
San Patricio,"71,325",8,"8,915.60",11.2,141
San Saba,"5,873",1,"5,873.00",17,106
Schleicher,"3,312",0,-,0,181
Scurry,"18,368",0,-,0,181
Shackelford,"3,405",0,-,0,181
Shelby,"25,545",7,"3,649.30",27.4,63
Sherman,"3,276",0,-,0,181
Smith,"235,143",72,"3,265.90",30.6,53
Somervell,"9,294",3,"3,098.00",32.3,51
Starr,"64,731",8,"8,091.40",12.4,133
Stephens,"9,570",0,-,0,181
