County,"Dentist, Total Active Dentist (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
"Freestone County, TX",2,19874,10.06,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Frio County, TX",4,20379,19.63,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Gaines County, TX",2,21996,9.09,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Galveston County, TX",155,345089,44.92,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Garza County, TX",1,6222,16.07,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Gillespie County, TX",18,26960,66.77,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Glasscock County, TX",0,1439,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Goliad County, TX",2,7626,26.23,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Gonzales County, TX",3,20948,14.32,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Gray County, TX",5,21658,23.09,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Grayson County, TX",58,138318,41.93,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Gregg County, TX",85,124229,68.42,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Grimes County, TX",4,29614,13.51,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Guadalupe County, TX",54,170608,31.65,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Hale County, TX",4,32754,12.21,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Hall County, TX",0,2939,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Hamilton County, TX",5,8557,58.43,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Hansford County, TX",1,5279,18.94,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Hardeman County, TX",1,4011,24.93,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Hardin County, TX",16,58305,27.44,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Harris County, TX",2907,4738253,61.35,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Harrison County, TX",15,66386,22.60,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Hartley County, TX",0,5443,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Haskell County, TX",1,5754,17.38,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Hays County, TX",84,241365,34.80,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Hemphill County, TX",0,3777,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Henderson County, TX",21,83792,25.06,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Hidalgo County, TX",259,875200,29.59,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Hill County, TX",4,37006,10.81,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Hockley County, TX",4,22921,17.45,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Hood County, TX",25,63527,39.35,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Hopkins County, TX",11,37170,29.59,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Houston County, TX",4,22835,17.52,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Howard County, TX",11,36540,30.10,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Hudspeth County, TX",0,4906,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Hunt County, TX",21,99807,21.04,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Hutchinson County, TX",7,20677,33.85,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Irion County, TX",0,1564,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Jack County, TX",0,9056,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Jackson County, TX",4,14854,26.93,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Jasper County, TX",10,35375,28.27,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Jeff Davis County, TX",0,2220,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Jefferson County, TX",118,250127,47.18,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Jim Hogg County, TX",0,5184,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Jim Wells County, TX",10,40452,24.72,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Johnson County, TX",61,179575,33.97,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Jones County, TX",1,19875,5.03,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Karnes County, TX",5,15562,32.13,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Kaufman County, TX",33,143198,23.05,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Kendall County, TX",53,48523,109.23,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Kenedy County, TX",0,379,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Kent County, TX",0,786,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Kerr County, TX",30,52869,56.74,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Kimble County, TX",3,4396,68.24,ADA Masterfile 2019; Census County Pop. Estimates 2020
"King County, TX",0,283,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Kinney County, TX",0,3670,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Kleberg County, TX",8,30338,26.37,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Knox County, TX",1,3683,27.15,ADA Masterfile 2019; Census County Pop. Estimates 2020
"La Salle County, TX",0,7500,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Lamar County, TX",19,49905,38.07,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Lamb County, TX",4,12710,31.47,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Lampasas County, TX",5,21789,22.95,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Lavaca County, TX",8,20216,39.57,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Lee County, TX",4,17397,22.99,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Leon County, TX",4,17493,22.87,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Liberty County, TX",17,91547,18.57,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Limestone County, TX",2,23340,8.57,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Lipscomb County, TX",1,3111,32.14,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Live Oak County, TX",2,12324,16.23,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Llano County, TX",12,21958,54.65,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Loving County, TX",0,181,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Lubbock County, TX",157,314772,49.88,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Lynn County, TX",1,6025,16.60,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Madison County, TX",1,14427,6.93,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Marion County, TX",1,9960,10.04,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Martin County, TX",1,5816,17.19,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Mason County, TX",2,4344,46.04,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Matagorda County, TX",9,36725,24.51,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Maverick County, TX",10,58378,17.13,ADA Masterfile 2019; Census County Pop. Estimates 2020
"McCulloch County, TX",2,7823,25.57,ADA Masterfile 2019; Census County Pop. Estimates 2020
"McLennan County, TX",115,259730,44.28,ADA Masterfile 2019; Census County Pop. Estimates 2020
"McMullen County, TX",0,721,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Medina County, TX",12,52358,22.92,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Menard County, TX",0,2124,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Midland County, TX",84,177863,47.23,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Milam County, TX",4,24708,16.19,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Mills County, TX",3,4840,61.98,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Mitchell County, TX",0,8202,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Montague County, TX",4,19962,20.04,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Montgomery County, TX",296,626351,47.26,ADA Masterfile 2019; Census County Pop. Estimates 2020
